Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
1COV,2018-01-30,94.28,93.22,93.96,93.76
1COV,2018-01-31,94.58,92.44,94.36,92.54
1COV,2018-02-01,93.52,91.56,93.02,91.92
1COV,2018-05-04,75.98,74.38,75.92,74.68
1COV,2018-05-07,76.62,74.94,75.06,76.06
1COV,2018-05-08,77.02,76.08,76.44,76.36
1COV,2018-11-21,50.82,47.73,48.39,49.78
1COV,2018-11-22,48.78,47.53,48.48,47.88
1COV,2018-11-23,47.67,46.76,47.53,47.62
1COV,2018-12-12,45.21,44.21,44.54,44.84
1COV,2018-12-13,44.82,43.51,44.41,43.66
1COV,2018-12-14,43.76,42.75,43.06,43.29
1COV,2019-01-09,47.47,46.45,46.79,46.78
1COV,2019-01-10,46.43,45.38,46.33,45.55
1COV,2019-01-11,45.36,44.61,45.27,44.88
1COV,2019-01-23,46.24,45.07,45.95,45.23
1COV,2019-01-24,45.39,44.44,44.72,45.36
1COV,2019-01-25,47.94,46.45,46.59,47.59
1COV,2019-03-27,48.44,47.38,47.89,48.07
1COV,2019-03-28,49.08,48.58,48.84,48.59
1COV,2019-03-29,49.49,48.62,49.19,49.02
1COV,2019-04-26,51.12,50.18,50.38,51.12
1COV,2019-04-29,50.72,49.82,50.42,50.48
1COV,2019-04-30,49.76,48.58,49.69,48.75
1COV,2019-06-04,41.66,40.39,40.59,41.18
1COV,2019-06-05,41.64,40.39,40.97,40.84
1COV,2019-06-06,42.38,40.64,41.81,41.08
1COV,2019-06-12,41.71,41.24,41.53,41.54
1COV,2019-06-13,42.33,41.51,41.56,42.25
1COV,2019-06-14,42.21,41.53,41.99,41.76
1COV,2019-07-03,44.33,43.61,44.01,43.81
1COV,2019-07-04,44.72,43.85,44.62,43.85
1COV,2019-07-05,43.47,42.95,43.12,43.22
1COV,2019-07-10,41.78,40.87,41.74,41.09
1COV,2019-07-11,40.69,40.02,40.21,40.23
1COV,2019-07-12,41.66,40.85,40.85,41.26
1COV,2019-07-24,45.37,44.41,44.58,44.82
1COV,2019-07-25,44.14,42.24,43.56,43.14
1COV,2019-07-26,43.03,42.66,42.84,42.85
1COV,2019-10-02,43.17,42.57,43.05,42.68
1COV,2019-10-04,43.54,42.58,42.83,43.13
1COV,2019-10-07,43.35,42.65,42.75,43.26
1COV,2019-11-07,47.17,46.49,46.73,46.95
1COV,2019-11-08,47.05,46.35,46.56,46.69
1COV,2019-11-11,46.85,45.85,46.85,46.14
1COV,2019-11-21,43.18,42.66,42.96,42.84
1COV,2019-11-22,43.68,43.04,43.65,43.38
1COV,2019-11-25,43.81,43.38,43.72,43.59
1COV,2019-12-12,42.98,41.93,42.18,42.77
1COV,2019-12-13,44.22,42.82,43.53,42.82
1COV,2019-12-16,43.32,42.83,43.28,42.95
1COV,2018-04-12,80.66,79.42,79.44,80.28
1COV,2018-04-13,81.02,79.34,80.72,80.0
1COV,2018-04-16,79.02,78.32,78.96,78.54
1COV,2018-06-11,79.04,78.6,78.82,78.96
1COV,2018-06-12,78.94,77.96,78.94,78.06
1COV,2018-06-13,78.66,77.82,78.46,77.86
1COV,2018-07-17,79.22,77.88,78.24,79.18
1COV,2018-07-18,81.64,80.92,81.18,81.28
1COV,2018-07-19,81.78,80.56,81.3,80.92
1COV,2018-08-28,79.08,76.82,78.76,77.16
1COV,2018-08-29,76.34,75.38,75.68,75.6
1COV,2018-08-30,74.52,73.18,73.32,74.18
1COV,2018-10-31,57.56,56.52,57.14,57.12
1COV,2018-11-01,58.68,57.4,58.14,58.64
1COV,2018-11-02,61.48,60.12,60.18,60.16
1COV,2018-12-05,49.21,47.36,47.9,48.44
1COV,2018-12-06,47.13,45.58,47.13,45.71
1COV,2018-12-07,45.96,44.94,45.64,45.22
1COV,2018-12-19,43.49,42.89,43.25,43.15
1COV,2018-12-20,42.57,41.42,42.55,41.9
1COV,2018-12-21,43.33,41.77,42.24,43.28
1COV,2019-02-06,50.56,49.73,50.12,50.48
1COV,2019-02-07,49.81,48.05,49.51,48.05
1COV,2019-02-08,48.18,46.86,47.79,47.1
1COV,2019-02-13,50.48,49.41,50.12,49.54
1COV,2019-02-14,50.46,48.42,50.14,48.7
1COV,2019-02-15,51.56,48.57,48.85,51.08
1COV,2019-02-27,49.12,47.2,47.35,48.42
1COV,2019-02-28,50.74,49.41,49.42,50.14
1COV,2019-03-01,51.94,51.14,51.42,51.14
1COV,2019-03-13,48.57,47.12,47.35,48.51
1COV,2019-03-14,49.38,48.46,49.29,48.67
1COV,2019-03-15,50.0,49.01,49.32,49.03
1COV,2019-03-20,47.64,46.55,47.64,46.79
