Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
ADS,2018-12-19,188.65,186.3,187.55,187.05
ADS,2018-12-20,185.3,182.95,184.85,183.75
ADS,2018-12-21,185.55,181.95,182.75,184.75
ADS,2019-05-27,261.95,259.9,261.65,261.85
ADS,2019-05-28,265.05,261.55,261.55,264.05
ADS,2019-05-29,261.55,257.55,261.15,258.6
ADS,2018-07-31,189.9,187.1,187.55,189.15
ADS,2018-08-01,188.65,185.55,188.4,187.85
ADS,2018-08-02,185.85,183.95,184.65,184.95
ADS,2019-11-14,267.25,264.35,265.7,265.3
ADS,2019-11-15,267.65,264.15,264.5,267.45
ADS,2019-11-18,272.65,269.45,270.65,270.95
ADS,2019-12-19,290.75,287.75,288.85,288.35
ADS,2019-12-20,291.95,286.75,288.05,291.45
ADS,2019-12-23,294.95,291.0,294.1,291.1
ADS,2018-03-13,174.25,168.25,172.45,169.15
ADS,2018-03-14,190.45,183.35,183.6,188.8
ADS,2018-03-15,193.95,187.6,189.75,193.1
ADS,2018-07-24,191.45,189.95,190.85,190.3
ADS,2018-07-25,191.25,188.15,190.85,188.6
ADS,2018-07-26,188.0,183.4,187.95,187.85
ADS,2019-10-24,274.55,271.85,274.4,273.15
ADS,2019-10-25,275.65,274.1,274.45,275.15
ADS,2019-10-28,280.95,275.75,276.6,278.6
ADS,2019-11-21,273.65,270.65,271.35,273.0
ADS,2019-11-22,274.35,272.05,274.15,273.0
ADS,2019-11-25,277.1,274.4,276.35,274.95
ADS,2018-02-20,183.0,179.75,181.9,182.95
ADS,2018-02-21,182.2,180.05,182.15,180.55
ADS,2018-02-22,181.65,179.1,181.15,180.8
ADS,2018-05-28,196.6,194.6,195.25,195.95
ADS,2018-05-29,194.3,192.35,193.35,192.7
ADS,2018-05-30,196.85,194.25,194.25,196.1
ADS,2018-07-02,185.95,183.35,185.7,183.75
ADS,2018-07-03,187.25,184.6,185.6,185.0
ADS,2018-07-04,183.95,181.55,183.7,182.15
ADS,2019-02-13,202.3,198.35,201.9,198.65
ADS,2019-02-14,202.3,195.45,198.85,197.0
ADS,2019-02-15,199.25,194.85,196.1,199.15
ADS,2019-05-06,253.45,245.9,246.75,252.8
ADS,2019-05-07,253.55,249.95,253.0,250.0
ADS,2019-05-08,256.55,250.0,251.65,256.55
ADS,2019-07-17,282.85,280.45,281.05,280.8
ADS,2019-07-18,283.15,277.9,278.0,281.85
ADS,2019-07-19,282.5,277.65,281.8,278.95
ADS,2019-08-07,276.3,271.75,274.7,273.55
ADS,2019-08-08,270.65,254.0,268.85,267.45
ADS,2019-08-09,262.9,258.85,261.0,259.65
ADS,2019-09-04,275.0,271.35,274.95,273.05
ADS,2019-09-05,274.95,271.55,274.7,274.8
ADS,2019-09-06,280.0,277.25,279.45,278.9
ADS,2019-10-02,276.15,268.75,276.1,268.75
ADS,2019-10-04,271.65,265.65,268.15,271.6
ADS,2019-10-07,272.4,270.0,270.8,272.35
ADS,2019-11-28,282.85,281.15,282.15,281.95
ADS,2019-11-29,286.75,281.3,281.3,282.75
ADS,2019-12-02,288.3,273.9,286.9,275.05
ADS,2018-01-16,171.1,168.25,169.45,168.45
ADS,2018-01-17,168.6,166.5,168.3,167.05
ADS,2018-01-18,171.4,168.05,168.1,171.05
ADS,2018-02-06,176.7,173.7,175.25,174.1
ADS,2018-02-07,184.55,177.85,178.25,183.55
ADS,2018-02-08,182.6,177.15,180.9,177.4
ADS,2018-03-20,196.4,194.25,195.3,194.7
ADS,2018-03-21,198.4,195.25,195.85,197.75
ADS,2018-03-22,200.1,195.5,199.75,196.55
ADS,2018-05-11,190.7,188.6,190.25,189.35
ADS,2018-05-14,190.25,187.8,188.75,189.0
ADS,2018-05-15,189.95,186.8,188.9,188.85
ADS,2018-06-04,195.7,193.25,194.25,195.4
ADS,2018-06-05,198.6,195.95,196.6,196.75
ADS,2018-06-06,203.7,199.15,199.15,203.5
ADS,2018-06-18,196.4,193.3,196.25,194.75
ADS,2018-06-19,191.8,189.0,190.4,189.5
ADS,2018-06-20,189.55,187.35,188.55,188.55
ADS,2018-07-09,182.8,181.45,181.75,181.85
ADS,2018-07-10,185.0,182.75,182.95,185.0
ADS,2018-07-11,184.0,182.3,183.0,183.05
ADS,2019-05-13,250.55,245.65,248.5,245.8
ADS,2019-05-14,250.65,245.15,245.2,250.45
ADS,2019-05-15,253.1,246.9,249.65,253.1
ADS,2019-05-20,254.35,250.55,252.5,251.0
ADS,2019-05-21,258.6,253.7,254.45,257.75
ADS,2019-05-22,264.65,260.5,264.0,263.05
ADS,2019-06-19,270.05,266.6,269.2,267.1
ADS,2019-06-20,272.3,269.25,271.55,269.25
ADS,2019-06-21,272.05,267.3,270.45,268.8
ADS,2019-07-03,279.5,277.75,278.2,278.65
ADS,2019-07-04,278.4,276.4,276.6,278.25
ADS,2019-07-05,279.45,274.45,278.3,277.15
ADS,2019-09-11,271.95,267.65,270.3,270.5
ADS,2019-09-12,277.45,272.1,273.7,275.85
ADS,2019-09-13,273.6,270.8,272.55,272.55
ADS,2019-09-18,273.85,271.35,272.8,273.45
ADS,2019-09-19,275.7,271.5,274.25,275.0
ADS,2019-09-20,277.0,274.55,274.7,274.75
ADS,2019-09-25,272.7,269.05,271.0,269.7
ADS,2019-09-26,279.3,274.35,274.35,278.65
ADS,2019-09-27,285.7,281.55,281.65,285.1
ADS,2019-10-31,280.3,276.55,278.1,276.85
ADS,2019-11-01,280.2,278.05,278.4,280.0
ADS,2019-11-04,287.35,278.35,279.05,286.1
ADS,2018-01-09,172.1,168.85,172.0,169.5
ADS,2018-01-10,168.85,167.6,168.6,167.8
ADS,2018-01-11,167.65,165.8,167.55,166.85
ADS,2018-01-23,187.2,184.15,186.95,185.3
ADS,2018-01-24,187.05,185.35,186.3,185.7
ADS,2018-01-25,185.7,180.9,184.0,182.85
ADS,2018-02-13,177.2,175.3,176.6,175.9
ADS,2018-02-14,177.9,173.15,176.75,177.45
ADS,2018-02-15,179.2,176.25,178.0,177.35
ADS,2018-03-27,195.7,193.65,195.35,194.2
ADS,2018-03-28,194.55,190.0,190.0,192.65
ADS,2018-03-29,197.45,193.5,193.7,196.6
ADS,2018-05-18,196.6,194.75,195.4,194.9
ADS,2018-05-22,196.85,193.85,194.4,195.7
ADS,2018-05-23,194.4,191.15,193.35,193.6
ADS,2018-06-11,200.1,197.7,199.2,198.4
ADS,2018-06-12,198.8,195.65,198.45,196.2
ADS,2018-06-13,196.1,194.25,195.25,194.95
ADS,2018-06-25,189.75,187.1,188.45,187.2
ADS,2018-06-26,190.0,186.6,188.9,187.3
ADS,2018-06-27,190.85,186.85,187.05,189.0
ADS,2018-08-07,191.2,189.0,191.1,189.65
ADS,2018-08-08,192.35,189.15,189.65,190.55
ADS,2018-08-09,210.9,203.9,205.3,208.5
ADS,2018-12-05,198.6,196.3,197.2,196.45
ADS,2018-12-06,195.8,192.5,194.8,193.55
ADS,2018-12-07,200.8,195.45,197.95,195.45
ADS,2019-01-02,186.9,182.05,182.2,184.4
ADS,2019-01-03,186.9,183.15,184.3,183.95
ADS,2019-01-04,191.3,186.2,186.45,191.05
ADS,2019-07-10,280.7,277.0,279.1,278.65
ADS,2019-07-11,281.1,277.35,280.35,278.25
ADS,2019-07-12,278.0,275.45,277.6,276.5
ADS,2019-07-31,289.55,282.8,284.2,289.55
ADS,2019-08-01,296.75,292.05,292.2,296.35
ADS,2019-08-02,284.5,279.4,284.4,279.4
ADS,2019-08-14,261.95,254.0,261.85,255.2
ADS,2019-08-15,259.15,253.2,257.2,257.1
ADS,2019-08-16,259.05,254.7,256.75,257.7
ADS,2019-08-28,265.3,258.85,261.5,265.25
ADS,2019-08-29,267.4,264.8,266.25,266.0
ADS,2019-08-30,271.75,269.1,270.55,269.7
ADS,2019-10-10,279.95,273.8,277.9,278.6
ADS,2019-10-11,280.35,275.45,276.45,280.2
ADS,2019-10-14,280.95,278.7,280.7,280.9
ADS,2019-10-17,285.3,281.9,283.4,282.0
ADS,2019-10-18,282.7,277.85,282.25,281.35
ADS,2019-10-21,282.2,277.55,278.0,281.35
ADS,2018-01-30,185.9,183.35,185.1,184.95
ADS,2018-01-31,187.4,185.3,185.45,187.3
ADS,2018-02-01,187.7,182.6,187.15,183.2
ADS,2018-02-27,182.8,181.2,182.45,181.85
ADS,2018-02-28,185.5,182.2,182.35,182.2
ADS,2018-03-01,181.1,175.9,181.1,176.05
ADS,2018-03-06,176.7,173.45,176.4,174.05
ADS,2018-03-07,175.3,172.9,173.05,174.9
ADS,2018-03-08,179.1,175.2,178.7,175.45
ADS,2018-05-04,193.8,190.7,193.0,192.85
ADS,2018-05-07,196.2,193.05,194.0,195.45
ADS,2018-05-08,194.5,193.55,194.2,193.9
ADS,2018-07-17,187.45,185.7,186.2,185.85
ADS,2018-07-18,189.4,187.6,188.0,189.4
ADS,2018-07-19,189.9,188.9,189.25,189.35
ADS,2018-10-10,200.6,194.2,200.0,195.15
ADS,2018-10-11,195.2,190.4,193.15,192.65
ADS,2018-10-12,195.6,192.4,194.35,192.6
ADS,2019-01-09,198.15,192.8,196.85,193.85
ADS,2019-01-10,196.2,193.9,194.3,195.5
ADS,2019-01-11,198.15,195.6,197.3,197.0
ADS,2019-04-10,226.4,224.5,225.35,226.3
ADS,2019-04-11,227.2,224.95,225.35,225.4
ADS,2019-04-12,226.2,224.85,225.8,225.4
ADS,2019-04-17,229.9,228.0,228.2,229.45
ADS,2019-04-18,232.2,230.1,230.1,232.15
ADS,2019-04-23,231.75,229.35,230.9,230.9
ADS,2019-06-04,258.65,256.8,257.55,258.0
ADS,2019-06-05,261.5,257.0,259.35,257.4
ADS,2019-06-06,261.6,258.65,261.0,260.5
ADS,2019-07-24,284.3,281.45,283.3,282.25
ADS,2019-07-25,286.4,280.45,285.3,282.7
ADS,2019-07-26,289.8,285.25,287.4,289.8
ADS,2019-08-21,266.1,264.0,265.55,265.8
ADS,2019-08-22,265.9,261.85,263.1,262.55
ADS,2019-08-23,264.5,259.7,264.05,259.8
ADS,2018-01-02,167.4,165.25,166.35,166.6
ADS,2018-01-03,167.8,166.3,166.6,167.75
ADS,2018-01-04,171.7,168.7,169.1,170.3
ADS,2018-11-28,201.2,198.35,199.55,199.1
ADS,2018-11-29,201.2,197.5,200.5,197.5
ADS,2018-11-30,196.2,193.2,195.65,194.8
ADS,2019-04-03,224.0,222.2,223.5,223.55
ADS,2019-04-04,226.4,222.2,222.8,226.4
ADS,2019-04-05,227.9,225.15,225.7,227.55
ADS,2019-11-07,275.9,273.3,273.85,274.5
ADS,2019-11-08,274.4,269.9,274.15,272.0
ADS,2019-11-11,271.3,269.65,270.1,269.8
ADS,2019-12-05,279.65,275.75,279.6,276.1
ADS,2019-12-06,280.7,277.3,277.65,279.2
ADS,2019-12-09,277.6,273.9,276.4,273.9
ADS,2019-12-12,282.45,277.0,281.2,278.2
ADS,2019-12-13,282.7,277.45,281.3,278.6
ADS,2019-12-16,287.15,281.8,282.7,285.8
ADS,2018-10-17,203.4,199.5,202.0,201.7
ADS,2018-10-18,202.2,198.75,202.2,198.75
ADS,2018-10-19,205.2,199.7,199.8,202.8
ADS,2018-12-12,200.3,197.65,198.1,199.1
ADS,2018-12-13,201.1,198.9,200.1,200.0
ADS,2018-12-14,198.4,194.5,197.65,195.5
ADS,2019-01-16,198.95,196.5,197.45,198.1
ADS,2019-01-17,200.2,197.7,198.5,200.0
ADS,2019-01-18,205.5,200.7,200.8,204.0
ADS,2019-01-30,206.7,205.0,205.5,206.2
ADS,2019-01-31,207.7,205.5,206.9,207.7
ADS,2019-02-01,202.7,197.55,202.6,198.85
ADS,2019-02-06,203.6,201.8,203.0,202.0
ADS,2019-02-07,202.7,198.9,201.5,199.5
ADS,2019-02-08,200.1,197.85,200.1,198.35
ADS,2019-03-13,206.8,199.15,199.95,204.8
ADS,2019-03-14,214.2,207.7,208.6,211.6
ADS,2019-03-15,213.5,209.9,210.2,212.4
ADS,2019-04-26,229.2,227.4,227.7,229.2
ADS,2019-04-29,228.6,226.6,228.15,228.6
ADS,2019-04-30,229.8,227.95,229.2,229.1
ADS,2019-06-12,258.05,254.3,254.9,256.8
ADS,2019-06-13,259.9,256.7,258.0,259.3
ADS,2019-06-14,261.1,258.75,259.1,260.6
ADS,2019-06-26,275.6,269.65,272.3,270.9
ADS,2019-06-27,270.1,265.7,270.1,265.7
ADS,2019-06-28,272.8,269.15,271.9,271.5
ADS,2018-04-05,204.4,201.3,201.9,204.0
ADS,2018-04-06,204.8,202.7,203.4,202.9
ADS,2018-04-09,205.1,201.0,204.9,202.1
ADS,2018-04-12,210.3,206.1,206.1,210.2
ADS,2018-04-13,211.4,209.4,210.9,210.6
ADS,2018-04-16,211.7,210.0,210.8,210.7
ADS,2018-04-19,213.7,209.7,212.3,210.5
ADS,2018-04-20,212.2,209.9,211.4,211.8
ADS,2018-04-23,212.5,210.0,212.2,212.1
ADS,2018-04-26,203.2,201.6,202.8,202.9
ADS,2018-04-27,206.9,203.6,206.1,204.5
ADS,2018-04-30,205.6,203.0,204.9,203.8
ADS,2018-08-14,210.8,207.5,210.2,209.3
ADS,2018-08-15,210.1,205.1,210.0,205.8
ADS,2018-08-16,209.4,206.5,207.9,208.7
ADS,2018-08-21,211.7,209.7,210.4,210.5
ADS,2018-08-22,210.9,208.8,209.5,210.4
ADS,2018-08-23,214.4,211.8,212.9,212.0
ADS,2018-08-28,218.0,215.6,217.1,215.7
ADS,2018-08-29,214.8,212.4,213.0,214.6
ADS,2018-08-30,215.7,213.5,214.3,215.2
ADS,2018-09-04,214.2,210.3,214.1,210.8
ADS,2018-09-05,211.0,206.5,210.7,207.0
ADS,2018-09-06,208.8,204.9,208.8,206.1
ADS,2018-09-11,207.6,203.8,205.7,206.6
ADS,2018-09-12,210.9,208.5,210.0,210.7
ADS,2018-09-13,211.0,208.7,210.8,209.7
ADS,2018-09-18,210.0,208.5,209.6,210.0
ADS,2018-09-19,209.7,208.5,209.3,209.2
ADS,2018-09-20,210.3,208.6,208.6,209.4
ADS,2018-09-25,210.9,207.6,207.6,210.7
ADS,2018-09-26,210.5,207.2,210.4,209.5
ADS,2018-09-27,211.8,208.9,209.1,211.5
ADS,2018-10-02,213.5,211.3,212.4,213.2
ADS,2018-10-04,211.5,208.1,211.2,209.0
ADS,2018-10-05,208.8,205.6,206.2,207.8
ADS,2018-10-24,205.3,200.6,200.7,201.0
ADS,2018-10-25,207.6,202.4,203.1,207.3
ADS,2018-10-26,204.3,200.5,204.3,203.4
ADS,2018-10-31,209.6,206.2,207.0,208.0
ADS,2018-11-01,207.8,203.7,207.1,204.0
ADS,2018-11-02,208.7,205.6,206.9,206.5
ADS,2018-11-07,203.3,197.9,199.1,198.6
ADS,2018-11-08,202.6,199.3,200.4,201.0
ADS,2018-11-09,204.3,200.1,200.8,203.9
ADS,2018-11-14,208.5,205.0,205.0,205.6
ADS,2018-11-15,209.1,203.2,207.3,205.5
ADS,2018-11-16,207.1,201.3,206.7,204.7
ADS,2018-11-21,204.4,199.7,200.9,204.4
ADS,2018-11-22,204.4,201.2,203.3,201.6
ADS,2018-11-23,203.9,200.0,202.7,202.7
ADS,2019-01-23,207.7,205.6,206.0,207.3
ADS,2019-01-24,203.5,200.3,201.4,202.3
ADS,2019-01-25,206.9,203.6,205.2,204.0
ADS,2019-02-20,202.6,201.1,202.1,202.1
ADS,2019-02-21,204.5,202.1,202.8,202.8
ADS,2019-02-22,204.1,201.7,202.6,204.1
ADS,2019-02-27,214.0,211.7,212.0,213.1
ADS,2019-02-28,214.4,212.4,213.5,213.6
ADS,2019-03-01,218.4,215.9,216.6,215.9
ADS,2019-03-06,219.8,216.8,216.8,217.6
ADS,2019-03-07,217.3,215.1,216.8,215.6
ADS,2019-03-08,213.9,209.3,213.0,210.6
ADS,2019-03-20,214.5,209.8,213.0,209.8
ADS,2019-03-21,210.0,206.9,209.0,208.5
ADS,2019-03-22,211.4,208.7,208.8,209.9
ADS,2019-03-27,215.7,213.3,215.0,213.9
ADS,2019-03-28,217.2,214.4,215.9,214.8
ADS,2019-03-29,217.8,215.1,216.5,216.6
ADS,2019-11-26,278.55,273.55,275.15,278.55
ADS,2019-11-27,282.85,279.25,279.7,281.95
ADS,2018-01-12,170.65,167.6,167.85,168.65
ADS,2018-01-15,171.55,169.15,170.55,169.5
ADS,2018-03-09,175.25,173.2,175.25,173.6
ADS,2018-03-12,174.55,170.95,173.65,171.65
