Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
SIE,2018-04-19,108.04,107.26,107.54,107.66
SIE,2018-04-20,108.44,107.78,107.92,108.18
SIE,2018-04-23,108.86,107.92,108.02,108.84
SIE,2018-06-25,115.24,113.12,114.88,113.12
SIE,2018-06-26,113.48,111.62,113.24,112.02
SIE,2018-06-27,115.16,111.28,111.42,114.04
SIE,2018-09-18,109.42,108.48,109.24,109.08
SIE,2018-09-19,109.72,108.82,109.02,109.22
SIE,2018-09-20,110.44,109.52,109.62,110.08
SIE,2019-04-10,101.76,101.24,101.58,101.58
SIE,2019-04-11,102.98,101.66,101.66,102.44
SIE,2019-04-12,103.92,103.34,103.48,103.86
SIE,2019-06-12,105.44,104.72,105.04,105.02
SIE,2019-06-13,105.76,105.04,105.38,105.18
SIE,2019-06-14,104.72,103.72,104.52,104.02
SIE,2018-02-13,108.82,107.98,108.34,108.18
SIE,2018-02-14,109.9,106.74,109.78,109.78
SIE,2018-02-15,111.26,109.48,110.58,109.98
SIE,2018-02-27,110.06,109.14,109.7,109.42
SIE,2018-02-28,109.44,108.28,109.08,108.36
SIE,2018-03-01,108.22,106.14,108.22,106.28
SIE,2018-04-26,104.92,104.06,104.58,104.78
SIE,2018-04-27,105.66,104.4,104.86,105.58
SIE,2018-04-30,105.66,104.88,105.38,105.44
SIE,2018-05-04,109.2,107.18,107.36,109.06
SIE,2018-05-07,109.98,109.12,109.18,109.94
SIE,2018-05-08,110.36,109.34,109.72,110.36
SIE,2018-06-11,115.98,114.36,114.82,115.96
SIE,2018-06-12,116.34,115.44,115.8,115.86
SIE,2018-06-13,119.36,115.86,116.08,119.02
SIE,2018-08-28,114.12,113.32,113.5,113.32
SIE,2018-08-29,113.76,113.18,113.56,113.74
SIE,2018-08-30,113.44,112.32,112.38,113.22
SIE,2018-10-02,107.54,106.52,107.54,107.42
SIE,2018-10-04,107.58,105.88,106.12,106.98
SIE,2018-10-05,106.66,105.16,106.48,105.4
SIE,2019-05-06,104.96,103.28,103.52,104.6
SIE,2019-05-07,104.56,102.06,104.46,102.48
SIE,2019-05-08,107.84,106.52,107.22,107.16
SIE,2019-06-19,106.76,106.1,106.14,106.28
SIE,2019-06-20,107.52,106.46,107.26,106.46
SIE,2019-06-21,107.28,105.42,106.66,105.74
SIE,2019-07-24,102.54,101.52,101.62,102.24
SIE,2019-07-25,103.44,100.54,102.7,100.96
SIE,2019-07-26,101.32,100.46,100.48,100.98
SIE,2019-11-28,117.62,117.04,117.08,117.34
SIE,2019-11-29,117.46,116.64,116.64,117.12
SIE,2019-12-02,119.62,115.86,118.58,116.2
SIE,2018-01-02,116.2,114.22,114.94,115.22
SIE,2018-01-03,117.14,116.1,116.36,116.62
SIE,2018-01-04,120.16,118.28,118.28,119.66
SIE,2018-01-16,124.18,122.74,122.98,123.0
SIE,2018-01-17,123.04,121.66,122.76,122.1
SIE,2018-01-18,123.62,122.26,122.28,123.04
SIE,2018-01-23,125.56,124.6,125.44,125.32
SIE,2018-01-24,125.04,122.96,124.58,123.08
SIE,2018-01-25,123.3,120.88,122.36,122.08
SIE,2018-03-13,107.22,104.72,106.98,105.04
SIE,2018-03-14,105.86,104.78,104.9,105.06
SIE,2018-03-15,106.5,105.32,106.02,106.46
SIE,2018-05-18,118.24,117.18,117.42,117.48
SIE,2018-05-22,118.54,117.82,118.12,118.1
SIE,2018-05-23,116.48,115.82,116.0,116.34
SIE,2018-07-02,113.88,112.74,113.28,112.82
SIE,2018-07-03,114.56,113.14,113.6,113.94
SIE,2018-07-04,114.24,113.12,113.7,114.24
SIE,2018-07-24,119.02,117.9,118.16,118.34
SIE,2018-07-25,118.76,117.4,118.46,117.62
SIE,2018-07-26,120.56,119.32,120.18,120.38
SIE,2018-07-31,121.44,119.86,120.88,120.76
SIE,2018-08-01,121.26,119.66,120.94,119.82
SIE,2018-08-02,114.82,113.3,114.56,114.2
SIE,2018-08-14,110.98,109.84,110.48,110.7
SIE,2018-08-15,111.26,109.16,111.1,109.76
SIE,2018-08-16,110.64,109.68,110.24,110.08
SIE,2018-08-21,111.32,110.46,110.74,110.66
SIE,2018-08-22,111.78,110.72,111.06,111.0
SIE,2018-08-23,112.56,111.3,111.78,111.84
SIE,2018-10-31,102.42,101.2,102.16,101.72
SIE,2018-11-01,102.96,101.08,102.28,101.66
SIE,2018-11-02,103.72,102.36,103.4,102.68
SIE,2018-11-07,103.48,102.36,103.04,102.74
SIE,2018-11-08,104.84,103.24,104.12,103.52
SIE,2018-11-09,102.84,101.9,101.9,102.34
SIE,2019-04-17,106.16,104.64,105.36,105.84
SIE,2019-04-18,107.04,105.94,106.04,106.5
SIE,2019-04-23,106.1,105.42,105.66,105.68
SIE,2019-06-04,104.62,102.66,103.28,104.28
SIE,2019-06-05,105.22,103.84,104.64,104.48
SIE,2019-06-06,105.1,103.2,104.94,103.58
SIE,2019-12-12,118.64,116.36,117.14,117.88
SIE,2019-12-13,119.34,117.48,119.16,117.78
SIE,2019-12-16,119.9,118.68,118.86,119.9
SIE,2019-12-19,117.44,116.44,116.94,117.44
SIE,2019-12-20,118.6,117.38,117.9,118.14
SIE,2019-12-23,118.16,117.48,117.86,117.52
SIE,2018-01-09,122.28,121.52,122.1,121.76
SIE,2018-01-10,121.66,120.1,121.42,120.58
SIE,2018-01-11,121.76,120.3,121.26,120.56
SIE,2018-02-06,113.08,110.62,111.38,111.18
SIE,2018-02-07,112.9,111.34,111.74,112.3
