Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
AIR,2018-08-07,109.94,108.92,109.82,109.02
AIR,2018-08-08,109.16,107.76,109.12,107.96
AIR,2018-08-09,108.82,107.72,108.18,108.82
AIR,2018-08-28,109.18,108.02,108.02,109.02
AIR,2018-08-29,110.86,109.96,110.26,110.12
AIR,2018-08-30,109.56,108.54,109.38,108.86
AIR,2019-03-27,116.78,114.88,115.68,115.58
AIR,2019-03-28,116.58,115.48,116.16,116.26
AIR,2019-03-29,118.14,116.66,117.12,117.84
AIR,2019-05-13,116.64,114.94,116.42,115.54
AIR,2019-05-14,119.12,117.26,117.44,118.94
AIR,2019-05-15,120.76,118.32,118.58,120.76
AIR,2019-06-19,125.54,122.54,125.24,123.04
AIR,2019-06-20,124.18,122.68,123.12,123.36
AIR,2019-06-21,124.92,122.62,124.04,122.62
AIR,2018-07-31,106.56,105.88,106.22,106.06
AIR,2018-08-01,107.34,106.46,106.56,106.62
AIR,2018-08-02,106.74,105.94,106.46,106.5
AIR,2019-04-10,118.64,116.56,118.46,116.56
AIR,2019-04-11,118.32,117.04,117.18,117.5
AIR,2019-04-12,119.68,118.44,119.38,118.66
AIR,2019-05-06,119.82,116.94,117.12,119.72
AIR,2019-05-07,119.16,117.06,118.98,117.66
AIR,2019-05-08,119.26,117.0,118.46,118.94
AIR,2019-06-12,122.7,121.06,122.08,122.36
AIR,2019-06-13,123.68,122.56,123.06,122.56
AIR,2019-06-14,122.36,121.06,122.08,122.36
AIR,2019-06-26,125.98,125.18,125.34,125.48
AIR,2019-06-27,125.02,123.9,124.96,124.04
AIR,2019-06-28,124.96,123.96,124.02,124.78
AIR,2019-08-21,128.26,127.58,128.06,128.08
AIR,2019-08-22,127.06,124.32,127.02,124.44
AIR,2019-08-23,125.12,122.64,125.0,122.64
AIR,2019-10-17,121.32,119.64,119.78,119.86
AIR,2019-10-18,120.48,119.16,120.2,120.34
AIR,2019-10-21,122.16,120.06,120.06,121.92
AIR,2019-10-31,130.04,128.16,130.04,128.52
AIR,2019-11-01,130.3,128.96,129.04,129.88
AIR,2019-11-04,132.18,130.82,131.72,130.82
AIR,2019-12-19,130.74,129.52,130.18,130.74
AIR,2019-12-20,132.48,130.92,131.28,131.9
AIR,2019-12-23,133.24,131.76,131.76,132.82
AIR,2018-07-17,108.2,107.38,107.74,107.68
AIR,2018-07-18,108.62,107.16,108.0,107.36
AIR,2018-07-19,107.44,106.34,106.92,107.24
AIR,2018-07-24,106.48,105.7,106.44,106.02
AIR,2018-07-25,106.38,104.64,106.22,105.14
AIR,2018-07-26,110.32,108.44,109.44,109.5
AIR,2018-08-21,108.2,107.34,108.18,107.52
AIR,2018-08-22,107.96,107.08,107.34,107.32
AIR,2018-08-23,108.2,107.52,107.96,107.78
AIR,2018-09-18,106.6,104.14,106.58,105.06
AIR,2018-09-19,106.66,105.72,105.82,106.44
AIR,2018-09-20,106.74,105.24,105.42,106.4
AIR,2018-09-25,106.46,104.94,106.0,105.0
AIR,2018-09-26,108.58,105.84,105.84,108.58
AIR,2018-09-27,108.96,106.96,107.22,108.82
AIR,2019-02-13,104.66,102.62,103.12,103.94
AIR,2019-02-14,110.02,107.42,109.58,107.42
AIR,2019-02-15,111.68,109.3,109.7,111.06
AIR,2019-03-13,116.9,114.92,115.22,116.88
AIR,2019-03-14,117.12,115.26,116.96,116.96
AIR,2019-03-15,119.2,117.18,117.52,117.66
AIR,2019-05-20,119.98,118.28,119.82,119.02
AIR,2019-05-21,119.48,117.9,119.16,118.22
AIR,2019-05-22,118.36,117.38,117.78,118.2
AIR,2019-05-27,117.36,116.5,117.04,116.96
AIR,2019-05-28,117.22,116.06,116.06,116.24
AIR,2019-05-29,114.5,113.16,114.02,114.38
AIR,2019-07-17,132.3,131.22,131.54,131.76
AIR,2019-07-18,132.84,131.62,131.62,132.0
AIR,2019-07-19,133.46,131.12,133.46,131.58
