Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
AMZ,2018-06-18,1487.34,1465.01,1477.08,1485.49
AMZ,2018-06-19,1485.87,1470.54,1474.11,1480.98
AMZ,2018-06-20,1514.0,1502.12,1509.97,1511.53
AMZ,2018-09-04,1774.39,1743.09,1756.03,1772.64
AMZ,2018-09-05,1763.85,1715.22,1762.23,1724.06
AMZ,2018-09-06,1730.5,1681.13,1728.52,1691.64
AMZ,2018-10-31,1434.84,1369.39,1377.86,1410.78
AMZ,2018-11-01,1430.58,1403.98,1418.85,1427.57
AMZ,2018-11-02,1486.59,1450.0,1474.99,1469.17
AMZ,2019-04-03,1628.0,1615.67,1626.22,1626.88
AMZ,2019-04-04,1630.82,1612.69,1616.72,1616.67
AMZ,2019-04-05,1634.73,1621.82,1624.89,1631.34
AMZ,2018-07-24,1572.0,1555.31,1563.78,1563.5
AMZ,2018-07-25,1573.08,1558.64,1567.61,1573.08
AMZ,2018-07-26,1578.27,1556.75,1566.49,1566.98
AMZ,2018-08-14,1686.11,1669.9,1682.53,1682.49
AMZ,2018-08-15,1702.76,1653.5,1702.35,1675.36
AMZ,2018-08-16,1676.46,1661.73,1672.38,1667.62
AMZ,2018-08-21,1644.61,1627.95,1633.97,1641.68
AMZ,2018-08-22,1639.1,1614.1,1625.99,1637.36
AMZ,2018-08-23,1659.94,1642.98,1652.99,1647.88
AMZ,2018-09-18,1674.84,1632.02,1635.94,1673.49
AMZ,2018-09-19,1666.73,1634.0,1665.56,1644.2
AMZ,2018-09-20,1659.62,1644.49,1649.39,1659.62
AMZ,2018-10-02,1741.0,1714.15,1735.0,1739.95
AMZ,2018-10-04,1696.06,1663.06,1691.86,1664.89
AMZ,2018-10-05,1670.82,1640.99,1658.43,1640.99
AMZ,2018-11-28,1438.43,1412.55,1414.26,1427.35
AMZ,2018-11-29,1477.5,1452.0,1473.43,1466.27
AMZ,2018-11-30,1496.12,1457.02,1463.46,1488.94
AMZ,2019-01-02,1348.5,1276.45,1285.97,1340.09
AMZ,2019-01-03,1351.86,1318.38,1323.16,1335.89
AMZ,2019-01-04,1372.0,1329.45,1333.89,1369.53
AMZ,2019-02-06,1471.1,1435.54,1455.44,1441.7
AMZ,2019-02-07,1443.66,1409.56,1441.67,1409.56
AMZ,2019-02-08,1417.05,1387.62,1415.01,1392.26
AMZ,2019-02-13,1465.16,1450.96,1452.1,1457.74
AMZ,2019-02-14,1464.99,1423.56,1460.5,1430.36
AMZ,2019-02-15,1450.43,1425.62,1428.99,1427.71
AMZ,2019-02-20,1442.62,1430.21,1435.26,1435.77
AMZ,2019-02-21,1435.97,1412.6,1432.0,1423.25
AMZ,2019-02-22,1441.02,1429.27,1429.27,1441.02
AMZ,2018-04-12,1180.0,1155.18,1155.18,1175.8
AMZ,2018-04-13,1183.45,1166.29,1170.53,1169.5
AMZ,2018-04-16,1169.67,1153.19,1163.05,1158.85
AMZ,2018-05-18,1346.99,1337.0,1342.94,1339.0
AMZ,2018-05-22,1349.59,1337.91,1346.1,1341.55
AMZ,2018-05-23,1347.84,1335.86,1335.86,1346.01
AMZ,2018-07-09,1473.19,1458.5,1461.0,1472.36
AMZ,2018-07-10,1493.63,1478.5,1485.0,1486.725
AMZ,2018-07-11,1493.82,1473.29,1474.36,1488.95
AMZ,2018-07-17,1574.42,1537.63,1545.47,1572.61
AMZ,2018-07-18,1598.9,1572.76,1589.97,1586.5
AMZ,2018-07-19,1589.63,1572.0,1584.51,1579.25
AMZ,2018-08-07,1606.74,1593.0,1600.68,1599.7
AMZ,2018-08-08,1626.0,1600.16,1608.56,1623.89
AMZ,2018-08-09,1641.73,1620.74,1628.13,1640.72
AMZ,2018-08-28,1655.81,1647.33,1653.0,1653.25
AMZ,2018-08-29,1692.0,1670.01,1677.55,1692.0
AMZ,2018-08-30,1737.25,1707.07,1709.44,1725.27
AMZ,2018-09-25,1660.0,1646.04,1649.99,1656.36
AMZ,2018-09-26,1690.95,1673.19,1687.0,1690.95
AMZ,2018-09-27,1723.12,1691.48,1694.0,1719.25
AMZ,2018-10-17,1606.66,1565.37,1604.78,1583.55
AMZ,2018-10-18,1593.0,1555.08,1593.0,1555.08
AMZ,2018-10-19,1574.08,1550.7,1552.83,1557.42
AMZ,2018-10-24,1566.71,1521.0,1535.88,1523.96
AMZ,2018-10-25,1539.51,1482.15,1496.49,1538.05
AMZ,2018-10-26,1471.13,1387.0,1441.7,1444.53
AMZ,2018-11-14,1480.0,1429.34,1431.93,1437.46
AMZ,2018-11-15,1426.7,1367.4,1422.75,1396.44
AMZ,2018-11-16,1416.99,1379.41,1416.99,1392.25
AMZ,2018-12-05,1493.0,1480.01,1489.29,1487.0
AMZ,2018-12-06,1450.47,1417.07,1446.22,1445.63
AMZ,2018-12-07,1508.58,1452.0,1489.11,1456.88
AMZ,2019-01-16,1495.26,1468.33,1472.19,1487.49
AMZ,2019-01-17,1484.56,1467.99,1470.5,1482.6
AMZ,2019-01-18,1506.17,1489.0,1493.98,1506.17
AMZ,2019-01-30,1442.99,1413.5,1414.0,1437.86
AMZ,2019-01-31,1496.34,1463.88,1477.46,1495.27
AMZ,2019-02-01,1456.23,1417.42,1431.9,1435.53
AMZ,2019-02-27,1435.76,1419.54,1432.88,1430.74
AMZ,2019-02-28,1450.0,1431.63,1434.99,1445.94
AMZ,2019-03-01,1459.55,1448.4,1449.2,1455.49
AMZ,2018-02-13,1149.99,1110.76,1123.9,1141.33
AMZ,2018-02-14,1161.35,1139.0,1151.99,1158.0
AMZ,2018-02-15,1176.27,1154.0,1171.99,1167.63
AMZ,2018-02-27,1244.93,1232.03,1240.0,1240.2
AMZ,2018-02-28,1253.01,1240.07,1243.05,1245.83
AMZ,2018-03-01,1249.0,1225.5,1248.99,1233.99
AMZ,2018-06-04,1413.69,1402.0,1407.52,1411.93
AMZ,2018-06-05,1447.86,1430.0,1431.0,1441.88
AMZ,2018-06-06,1453.27,1431.19,1451.5,1448.34
AMZ,2018-07-02,1466.7,1444.13,1451.7,1462.0
AMZ,2018-07-03,1480.51,1462.48,1477.24,1464.935
AMZ,2018-07-04,1466.0,1455.62,1460.0,1456.01
AMZ,2018-09-11,1696.99,1656.0,1670.13,1696.99
AMZ,2018-09-12,1726.0,1690.0,1725.49,1710.79
AMZ,2018-09-13,1719.94,1704.22,1718.48,1712.5
AMZ,2018-10-10,1633.33,1556.0,1623.07,1563.0
AMZ,2018-10-11,1515.36,1457.61,1483.85,1474.57
AMZ,2018-10-12,1567.39,1524.0,1526.4,1543.04
AMZ,2018-11-21,1358.64,1324.14,1325.99,1345.56
AMZ,2018-11-22,1324.2,1310.42,1323.68,1313.0
AMZ,2018-11-23,1353.13,1324.98,1330.0,1339.4
AMZ,2018-12-12,1497.52,1464.05,1467.25,1490.62
AMZ,2018-12-13,1490.0,1448.09,1476.2,1460.38
AMZ,2018-12-14,1456.2,1438.2,1441.39,1442.26
AMZ,2019-01-09,1461.93,1425.01,1458.38,1437.22
AMZ,2019-01-10,1440.0,1407.4,1417.97,1438.38
AMZ,2019-01-11,1446.13,1425.0,1439.5,1434.94
AMZ,2019-01-23,1459.5,1431.33,1435.96,1435.99
AMZ,2019-01-24,1460.01,1436.8,1449.41,1444.12
AMZ,2019-01-25,1478.76,1462.44,1467.5,1468.4
AMZ,2019-03-27,1589.68,1553.2,1588.25,1561.98
AMZ,2019-03-28,1582.04,1563.06,1572.08,1570.38
AMZ,2019-03-29,1595.0,1581.2,1581.2,1588.34
AMZ,2018-01-30,1152.18,1116.01,1146.0,1152.0
AMZ,2018-01-31,1176.57,1159.9,1162.0,1170.21
AMZ,2018-02-01,1182.99,1142.01,1180.01,1148.0
AMZ,2018-02-06,1155.53,1087.0,1098.99,1128.01
AMZ,2018-02-07,1187.53,1157.0,1163.9,1185.59
AMZ,2018-02-08,1173.16,1130.0,1163.4,1137.65
AMZ,2018-02-20,1195.0,1159.89,1171.11,1194.31
AMZ,2018-02-21,1216.65,1190.9,1196.39,1215.75
AMZ,2018-02-22,1217.5,1200.37,1204.0,1214.0
AMZ,2018-03-06,1243.0,1231.0,1240.2,1231.0
AMZ,2018-03-07,1243.15,1221.47,1222.24,1239.59
AMZ,2018-03-08,1260.68,1245.0,1247.88,1258.66
AMZ,2018-04-05,1184.0,1161.0,1161.25,1182.16
AMZ,2018-04-06,1182.33,1164.0,1170.94,1166.9
AMZ,2018-04-09,1165.2,1150.12,1158.55,1156.19
AMZ,2018-05-28,1393.11,1382.97,1384.0,1389.0
AMZ,2018-05-29,1400.57,1382.0,1385.5,1399.65
AMZ,2018-05-30,1402.0,1389.27,1397.44,1393.59
AMZ,2018-07-31,1535.35,1486.73,1525.5,1518.54
AMZ,2018-08-01,1538.02,1523.94,1531.37,1529.0
AMZ,2018-08-02,1558.0,1535.5,1539.31,1558.0
AMZ,2018-12-19,1376.71,1340.0,1362.99,1366.89
AMZ,2018-12-20,1318.4,1271.6,1300.01,1275.2
AMZ,2018-12-21,1300.0,1236.03,1276.99,1245.36
AMZ,2019-03-06,1502.95,1481.0,1498.79,1483.68
AMZ,2019-03-07,1486.89,1462.1,1470.0,1472.25
AMZ,2019-03-08,1443.5,1415.0,1442.83,1433.02
AMZ,2019-03-20,1570.74,1552.03,1556.99,1564.5
AMZ,2019-03-21,1591.14,1570.0,1579.11,1590.2
AMZ,2019-03-22,1608.0,1575.2,1602.44,1579.35
AMZ,2018-03-27,1271.75,1260.06,1264.0,1262.5
AMZ,2018-03-28,1218.13,1125.0,1198.0,1135.7
AMZ,2018-03-29,1183.17,1109.4,1160.79,1158.85
AMZ,2018-06-11,1435.47,1424.0,1429.0,1430.02
AMZ,2018-06-12,1440.5,1434.0,1438.01,1439.03
AMZ,2018-06-13,1454.0,1444.03,1449.14,1454.0
AMZ,2018-06-25,1461.6,1419.1,1454.26,1426.5
AMZ,2018-06-26,1446.81,1426.0,1437.0,1439.01
AMZ,2018-06-27,1475.72,1435.88,1438.18,1460.5
AMZ,2018-11-07,1507.43,1448.0,1454.4,1497.99
AMZ,2018-11-08,1560.45,1510.0,1542.0,1547.87
AMZ,2018-11-09,1539.1,1508.16,1537.0,1516.95
AMZ,2019-03-13,1501.0,1479.52,1481.15,1498.67
AMZ,2019-03-14,1505.0,1491.8,1500.26,1501.34
AMZ,2019-03-15,1514.0,1493.66,1509.0,1506.9
AMZ,2018-03-13,1309.0,1274.0,1301.46,1280.5
AMZ,2018-03-14,1299.92,1287.0,1294.0,1291.7
AMZ,2018-03-15,1294.64,1279.9,1291.16,1285.42
AMZ,2018-05-04,1326.0,1309.0,1316.99,1321.6
AMZ,2018-05-07,1349.0,1325.91,1336.49,1344.3
AMZ,2018-05-08,1348.49,1338.6,1340.67,1341.0
AMZ,2018-05-11,1353.0,1339.1,1352.28,1346.0
AMZ,2018-05-14,1344.71,1337.5,1340.46,1339.05
AMZ,2018-05-15,1345.06,1320.5,1343.5,1320.5
AMZ,2018-03-20,1286.0,1250.71,1256.0,1285.0
AMZ,2018-03-21,1295.86,1280.0,1290.0,1291.18
AMZ,2018-03-22,1277.3,1256.01,1273.0,1260.4
AMZ,2018-04-19,1267.0,1242.22,1258.1,1255.0
