Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
BAS,2018-01-16,94.88,93.39,93.97,93.81
BAS,2018-01-17,94.73,93.33,93.41,93.53
BAS,2018-01-18,96.86,93.96,94.18,96.09
BAS,2018-02-13,86.57,85.44,85.88,85.83
BAS,2018-02-14,86.81,83.76,86.18,86.68
BAS,2018-02-15,87.74,85.87,87.08,86.38
BAS,2018-03-27,82.88,81.75,82.43,82.41
BAS,2018-03-28,81.47,80.51,80.61,81.05
BAS,2018-03-29,82.86,81.59,81.86,82.49
BAS,2018-04-19,86.28,85.78,85.78,86.06
BAS,2018-04-20,86.88,86.12,86.19,86.61
BAS,2018-04-23,87.08,86.34,86.43,87.07
BAS,2018-06-04,85.37,84.69,84.83,84.96
BAS,2018-06-05,86.49,85.34,85.43,85.54
BAS,2018-06-06,85.77,84.64,85.53,85.76
BAS,2018-07-17,83.46,82.24,82.28,83.21
BAS,2018-07-18,84.45,84.09,84.09,84.18
BAS,2018-07-19,84.07,83.46,83.91,83.77
BAS,2018-08-21,79.37,79.01,79.33,79.09
BAS,2018-08-22,79.71,78.97,79.17,79.49
BAS,2018-08-23,79.57,79.13,79.44,79.32
BAS,2018-09-04,79.22,77.97,79.21,78.27
BAS,2018-09-05,78.01,77.14,77.72,77.25
BAS,2018-09-06,77.51,76.57,77.41,76.83
BAS,2018-09-25,80.95,79.37,80.28,79.83
BAS,2018-09-26,79.04,77.66,79.02,78.72
BAS,2018-09-27,78.43,77.29,77.56,78.36
BAS,2018-10-02,76.54,75.98,76.19,76.26
BAS,2018-10-04,76.17,75.06,75.61,75.34
BAS,2018-10-05,75.33,74.53,75.01,74.69
BAS,2018-10-17,69.53,68.63,69.48,69.02
BAS,2018-10-18,69.36,68.04,69.23,68.18
BAS,2018-10-19,67.97,67.21,67.44,67.65
BAS,2018-12-19,60.77,60.01,60.15,60.34
BAS,2018-12-20,60.05,59.22,59.78,59.75
BAS,2018-12-21,60.95,59.57,59.88,60.72
BAS,2019-01-23,63.79,62.91,63.46,63.16
BAS,2019-01-24,63.69,62.97,63.31,63.49
BAS,2019-01-25,65.37,64.31,64.58,65.09
BAS,2019-02-13,65.81,64.85,65.68,64.85
BAS,2019-02-14,65.63,64.14,65.28,64.52
BAS,2019-02-15,66.45,64.32,64.41,66.32
BAS,2019-02-20,66.69,65.12,65.66,66.32
BAS,2019-02-21,66.54,65.55,66.38,65.74
BAS,2019-02-22,66.02,65.07,65.94,65.25
BAS,2019-06-04,61.66,60.83,60.91,61.32
BAS,2019-06-05,61.97,60.71,61.19,61.06
BAS,2019-06-06,61.92,60.37,61.46,60.88
BAS,2019-07-24,64.19,63.44,63.46,63.86
BAS,2019-07-25,63.65,61.37,63.03,62.76
BAS,2019-07-26,62.09,61.53,61.69,61.94
BAS,2019-08-07,57.36,56.16,56.99,56.78
BAS,2019-08-08,58.66,57.13,57.15,58.49
BAS,2019-08-09,58.61,58.02,58.39,58.13
BAS,2019-08-28,58.51,57.65,58.07,58.48
BAS,2019-08-29,59.75,59.08,59.28,59.67
BAS,2019-08-30,60.54,60.03,60.36,60.18
BAS,2019-09-04,60.54,60.05,60.27,60.21
BAS,2019-09-05,61.24,60.71,60.78,61.01
BAS,2019-09-06,61.54,60.71,60.72,61.46
BAS,2019-09-18,64.37,64.02,64.31,64.02
BAS,2019-09-19,64.31,63.54,64.25,63.92
BAS,2019-09-20,63.99,63.18,63.38,63.89
BAS,2019-09-25,61.87,61.02,61.02,61.83
BAS,2019-09-26,62.45,61.81,62.43,61.99
BAS,2019-09-27,63.95,63.25,63.88,63.54
