Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
BAYN,2018-01-23,109.48,107.24,107.24,109.16
BAYN,2018-01-24,110.22,107.98,109.88,108.36
BAYN,2018-01-25,107.98,106.12,107.0,106.32
BAYN,2018-01-09,108.02,107.04,107.94,107.44
BAYN,2018-01-10,106.14,104.64,106.06,105.26
BAYN,2018-01-11,106.3,104.58,106.3,105.38
BAYN,2018-01-16,104.92,103.76,104.18,104.24
BAYN,2018-01-17,103.8,103.02,103.64,103.46
BAYN,2018-01-18,103.6,102.94,103.26,103.34
BAYN,2018-05-11,102.12,101.32,101.82,102.04
BAYN,2018-05-14,102.78,102.0,102.56,102.58
BAYN,2018-05-15,102.52,101.9,102.48,101.98
BAYN,2018-05-18,104.9,104.12,104.26,104.52
BAYN,2018-05-22,105.42,103.04,103.44,105.42
BAYN,2018-05-23,102.96,102.1,102.72,102.78
BAYN,2018-05-04,101.86,100.26,101.34,101.76
BAYN,2018-05-07,102.6,100.9,100.98,102.26
BAYN,2018-05-08,101.68,101.08,101.58,101.6
BAYN,2018-01-30,106.3,105.04,105.88,105.52
BAYN,2018-01-31,106.6,104.84,106.5,105.28
BAYN,2018-02-01,105.9,103.22,105.62,103.24
BAYN,2018-05-28,101.28,99.44,101.12,100.06
BAYN,2018-05-29,100.22,98.47,98.59,99.16
BAYN,2018-05-30,103.34,101.64,101.64,102.56
BAYN,2018-01-02,103.64,102.26,103.24,102.8
BAYN,2018-01-03,103.1,102.48,103.0,102.9
BAYN,2018-01-04,104.76,102.98,103.4,104.44
BAYN,2018-06-04,103.4,101.88,103.34,102.74
BAYN,2018-06-05,102.58,100.46,102.22,100.5
BAYN,2018-06-06,99.93,99.17,99.57,99.67
BAYN,2018-02-27,98.55,97.73,98.16,97.78
BAYN,2018-02-28,96.53,94.65,95.81,96.12
BAYN,2018-03-01,95.61,94.48,95.61,94.74
BAYN,2018-03-27,91.35,90.51,90.69,90.87
BAYN,2018-03-28,90.99,89.72,89.75,90.43
BAYN,2018-03-29,92.66,91.05,91.06,91.96
BAYN,2018-04-26,97.85,96.82,97.43,97.43
BAYN,2018-04-27,98.87,97.81,98.57,98.44
BAYN,2018-04-30,99.37,98.15,98.46,99.15
BAYN,2018-06-25,98.04,96.16,97.81,96.27
BAYN,2018-06-26,96.72,95.55,96.52,96.13
BAYN,2018-06-27,97.16,94.46,94.53,95.85
BAYN,2018-10-02,74.96,74.22,74.41,74.58
BAYN,2018-10-04,76.19,75.05,75.29,75.19
BAYN,2018-10-05,75.37,74.53,75.25,74.66
BAYN,2018-10-17,78.76,77.12,78.13,77.38
BAYN,2018-10-18,79.07,77.71,78.38,78.42
BAYN,2018-10-19,78.27,77.23,77.58,77.59
BAYN,2019-05-13,56.83,56.03,56.62,56.47
BAYN,2019-05-14,55.54,54.73,54.89,55.33
BAYN,2019-05-15,56.94,55.21,55.65,56.45
BAYN,2019-05-27,54.67,54.04,54.11,54.67
BAYN,2019-05-28,55.58,54.42,54.46,55.43
BAYN,2019-05-29,54.33,53.72,53.87,53.91
BAYN,2019-06-19,55.26,54.47,54.48,55.03
BAYN,2019-06-20,56.22,55.49,55.85,55.49
BAYN,2019-06-21,55.61,54.43,55.44,54.82
BAYN,2019-06-26,56.75,55.95,56.26,55.99
BAYN,2019-06-27,61.45,59.98,60.32,60.86
BAYN,2019-06-28,61.31,60.62,60.96,60.94
BAYN,2019-11-14,70.77,70.11,70.34,70.37
BAYN,2019-11-15,70.71,70.09,70.49,70.43
BAYN,2019-11-18,70.93,69.96,70.38,70.25
BAYN,2018-02-06,99.83,97.52,99.28,98.2
BAYN,2018-02-07,99.87,98.61,98.93,99.36
BAYN,2018-02-08,99.07,96.75,98.76,96.83
BAYN,2018-02-13,97.99,96.95,97.5,97.04
BAYN,2018-02-14,98.38,95.77,97.42,98.13
BAYN,2018-02-15,98.11,96.68,97.99,97.01
BAYN,2018-02-20,99.26,97.63,98.5,99.03
BAYN,2018-02-21,98.49,97.67,97.97,98.42
BAYN,2018-02-22,98.72,97.14,97.49,98.66
BAYN,2018-03-06,96.62,95.52,96.2,95.54
BAYN,2018-03-07,97.09,95.02,95.17,97.04
BAYN,2018-03-08,97.87,95.88,96.69,97.74
BAYN,2018-03-20,94.43,93.15,93.65,94.29
BAYN,2018-03-21,95.64,93.8,94.25,94.21
BAYN,2018-03-22,93.49,92.06,93.49,92.76
BAYN,2018-04-05,94.53,92.82,93.0,94.46
BAYN,2018-04-06,94.18,93.44,93.64,93.53
BAYN,2018-04-09,94.14,92.63,94.07,93.16
BAYN,2018-04-12,98.85,96.99,97.05,98.39
BAYN,2018-04-13,99.54,98.37,98.81,98.8
BAYN,2018-04-16,99.05,97.57,99.05,98.08
BAYN,2018-04-19,99.97,99.22,99.71,99.65
BAYN,2018-04-20,99.68,98.78,99.63,99.25
BAYN,2018-04-23,98.8,98.16,98.17,98.76
BAYN,2018-06-18,99.25,97.97,99.13,98.46
BAYN,2018-06-19,97.33,96.05,96.76,96.89
BAYN,2018-06-20,97.25,96.45,96.72,97.0
BAYN,2018-07-02,95.42,93.96,94.59,94.94
BAYN,2018-07-03,96.09,94.2,95.81,94.64
BAYN,2018-07-04,94.79,94.22,94.56,94.32
BAYN,2018-07-09,94.38,93.82,93.89,94.05
BAYN,2018-07-10,95.58,94.62,94.62,94.63
BAYN,2018-07-11,93.31,91.94,93.31,92.4
BAYN,2018-07-24,93.66,93.1,93.15,93.61
BAYN,2018-07-25,93.47,92.15,93.25,92.78
BAYN,2018-07-26,95.04,93.93,94.68,94.55
BAYN,2018-08-28,82.89,82.18,82.6,82.29
BAYN,2018-08-29,82.74,81.65,82.06,82.74
BAYN,2018-08-30,82.46,81.11,81.28,81.55
BAYN,2018-09-04,80.33,79.53,79.98,79.83
BAYN,2018-09-05,79.33,78.0,78.31,78.48
BAYN,2018-09-06,77.55,74.81,77.04,74.89
BAYN,2018-09-18,73.76,72.27,73.74,73.3
BAYN,2018-09-19,74.14,73.42,73.85,74.03
BAYN,2018-09-20,76.64,75.03,75.42,75.82
BAYN,2018-10-10,76.08,74.63,74.77,75.01
BAYN,2018-10-11,79.11,77.32,78.11,77.32
BAYN,2018-10-12,77.79,76.09,77.47,76.1
BAYN,2018-11-21,62.72,61.49,62.47,62.6
BAYN,2018-11-22,62.77,61.99,62.26,62.23
BAYN,2018-11-23,63.23,62.28,63.07,62.81
BAYN,2018-12-05,66.7,64.83,64.96,65.61
BAYN,2018-12-06,64.06,62.13,63.67,62.37
BAYN,2018-12-07,64.29,61.85,62.77,63.43
BAYN,2019-03-06,73.11,72.31,72.96,72.47
BAYN,2019-03-07,72.2,70.47,71.86,71.14
BAYN,2019-03-08,70.15,69.05,69.69,69.49
BAYN,2019-03-13,68.46,66.63,66.91,68.04
BAYN,2019-03-14,67.8,67.06,67.55,67.79
BAYN,2019-03-15,68.83,67.53,67.92,67.75
BAYN,2019-04-03,60.57,59.97,60.43,60.41
BAYN,2019-04-04,61.13,60.53,60.73,60.68
BAYN,2019-04-05,61.66,60.86,61.2,61.47
BAYN,2019-04-10,61.62,60.83,60.97,61.47
BAYN,2019-04-11,61.35,60.43,60.5,60.79
BAYN,2019-04-12,62.02,61.06,61.33,61.42
BAYN,2019-05-20,56.31,55.37,55.95,55.8
BAYN,2019-05-21,56.41,55.88,56.02,56.07
BAYN,2019-05-22,56.34,55.18,56.04,55.85
BAYN,2019-07-03,61.9,60.98,61.71,61.01
BAYN,2019-07-04,60.96,60.41,60.79,60.92
BAYN,2019-07-05,61.16,60.71,61.03,60.71
BAYN,2019-07-10,60.06,59.02,59.22,59.51
BAYN,2019-07-11,59.75,58.99,59.34,59.14
BAYN,2019-07-12,59.24,58.8,59.08,58.83
BAYN,2019-07-31,58.94,57.63,57.72,58.75
BAYN,2019-08-01,60.69,59.56,59.59,60.25
BAYN,2019-08-02,59.41,57.82,58.99,58.0
BAYN,2019-08-07,59.66,58.13,58.81,58.84
BAYN,2019-08-08,63.2,59.64,59.71,62.97
BAYN,2019-08-09,67.42,62.65,67.39,64.63
BAYN,2019-08-14,65.17,63.65,64.96,63.92
BAYN,2019-08-15,63.85,62.16,63.73,62.98
BAYN,2019-08-16,64.67,63.91,64.5,64.61
BAYN,2019-11-07,72.02,71.25,71.94,71.59
BAYN,2019-11-08,71.49,69.93,70.83,70.63
BAYN,2019-11-11,70.98,70.28,70.93,70.5
BAYN,2019-11-21,68.91,68.24,68.57,68.5
BAYN,2019-11-22,68.86,68.17,68.82,68.53
BAYN,2019-11-25,69.62,68.74,69.12,69.62
BAYN,2019-11-28,69.38,68.78,69.32,68.94
BAYN,2019-11-29,69.18,68.62,68.71,68.7
BAYN,2019-12-02,69.38,67.45,69.33,67.56
BAYN,2018-03-13,98.35,95.38,97.96,95.68
BAYN,2018-03-14,96.22,95.22,95.59,95.44
BAYN,2018-03-15,97.04,93.9,95.76,94.7
BAYN,2018-06-11,97.79,97.01,97.61,97.4
BAYN,2018-06-12,97.09,96.05,96.81,96.42
BAYN,2018-06-13,98.78,96.49,96.64,98.7
BAYN,2018-08-07,97.03,96.02,96.81,96.02
BAYN,2018-08-08,96.83,95.8,96.03,96.06
BAYN,2018-08-09,96.22,94.7,95.68,95.73
BAYN,2018-08-14,84.63,83.16,84.27,83.76
BAYN,2018-08-15,82.05,80.32,81.79,80.79
BAYN,2018-08-16,77.08,75.5,76.5,77.05
BAYN,2018-08-21,83.58,82.12,82.79,82.12
BAYN,2018-08-22,84.38,83.14,83.63,83.43
BAYN,2018-08-23,83.55,81.8,82.9,81.95
BAYN,2018-09-11,71.39,69.94,70.3,70.34
BAYN,2018-09-12,70.66,69.62,70.34,70.3
BAYN,2018-09-13,70.54,69.43,69.54,70.15
BAYN,2018-09-25,76.21,75.14,75.23,75.6
BAYN,2018-09-26,76.64,76.07,76.25,76.46
BAYN,2018-09-27,78.93,76.7,76.82,77.65
BAYN,2018-10-31,68.25,67.3,67.92,67.78
BAYN,2018-11-01,69.74,68.45,68.78,69.6
BAYN,2018-11-02,71.76,69.94,70.17,69.94
BAYN,2018-11-07,71.92,71.07,71.24,71.54
BAYN,2018-11-08,71.84,70.57,71.54,70.72
BAYN,2018-11-09,71.0,69.61,69.82,71.0
BAYN,2018-11-28,65.02,64.07,64.49,64.23
BAYN,2018-11-29,66.75,62.91,64.91,63.77
BAYN,2018-11-30,65.7,63.86,64.1,64.58
BAYN,2018-12-12,64.71,63.4,63.51,64.33
BAYN,2018-12-13,64.45,63.88,64.29,64.4
BAYN,2018-12-14,64.45,62.99,63.02,63.36
BAYN,2019-01-02,61.28,59.91,59.99,60.86
BAYN,2019-01-03,61.47,60.52,60.82,60.8
BAYN,2019-01-04,65.05,62.46,62.61,64.9
BAYN,2019-01-09,67.06,65.44,66.87,65.59
BAYN,2019-01-10,65.98,64.37,64.4,65.88
BAYN,2019-01-11,65.84,64.67,65.84,65.7
BAYN,2019-01-16,65.39,64.85,65.02,65.08
BAYN,2019-01-17,64.52,63.79,64.49,64.16
BAYN,2019-01-18,66.5,64.59,64.86,66.5
BAYN,2019-01-23,66.34,65.73,65.74,66.0
BAYN,2019-01-24,66.28,65.37,65.82,66.02
BAYN,2019-01-25,68.46,66.82,67.0,67.81
BAYN,2019-01-30,66.33,65.4,66.32,65.69
BAYN,2019-01-31,66.93,65.24,66.91,66.2
BAYN,2019-02-01,66.98,65.82,66.19,66.97
BAYN,2019-02-13,68.37,67.38,68.15,68.31
BAYN,2019-02-14,67.92,65.5,67.57,65.55
BAYN,2019-02-15,68.5,65.38,65.77,68.17
BAYN,2019-02-27,70.33,68.8,69.01,69.28
BAYN,2019-02-28,70.53,68.41,68.53,70.28
BAYN,2019-03-01,71.93,70.71,71.5,71.43
BAYN,2019-04-26,62.14,60.7,60.76,61.54
BAYN,2019-04-29,60.16,59.29,60.07,59.38
BAYN,2019-04-30,59.75,59.06,59.6,59.34
BAYN,2019-06-04,55.02,54.5,54.99,54.5
BAYN,2019-06-05,54.53,53.39,54.19,53.98
BAYN,2019-06-06,54.25,52.56,54.02,53.29
BAYN,2019-06-12,53.93,53.2,53.63,53.31
BAYN,2019-06-13,53.67,53.17,53.32,53.63
BAYN,2019-06-14,53.7,52.69,53.27,52.85
BAYN,2019-07-24,60.85,60.08,60.43,60.1
BAYN,2019-07-25,61.04,58.88,60.21,59.18
BAYN,2019-07-26,60.15,59.51,59.77,59.9
BAYN,2019-08-21,67.23,66.52,66.84,67.23
BAYN,2019-08-22,67.9,67.1,67.65,67.72
BAYN,2019-08-23,67.96,66.58,67.79,66.59
BAYN,2019-08-28,67.2,66.02,66.62,66.7
BAYN,2019-08-29,67.65,67.02,67.28,67.64
BAYN,2019-08-30,67.81,67.26,67.49,67.34
BAYN,2019-09-04,68.17,67.39,67.93,67.51
BAYN,2019-09-05,67.11,66.19,66.97,66.5
BAYN,2019-09-06,67.11,66.29,66.3,66.99
BAYN,2019-09-18,66.54,66.18,66.48,66.2
BAYN,2019-09-19,67.12,66.32,66.63,66.9
BAYN,2019-09-20,67.64,67.14,67.25,67.23
BAYN,2019-10-10,64.47,63.5,63.82,64.14
BAYN,2019-10-11,65.22,64.56,64.75,65.22
BAYN,2019-10-14,65.7,64.83,65.01,65.61
BAYN,2019-10-24,67.34,66.7,67.13,67.25
BAYN,2019-10-25,66.88,66.37,66.68,66.54
BAYN,2019-10-28,66.61,66.2,66.38,66.38
BAYN,2019-10-31,70.27,68.45,68.89,69.58
BAYN,2019-11-01,70.28,69.08,69.37,69.9
BAYN,2019-11-04,71.3,70.48,70.57,71.28
BAYN,2019-12-05,70.44,68.98,69.53,68.98
BAYN,2019-12-06,69.3,68.5,68.89,69.18
BAYN,2019-12-09,69.16,68.55,69.09,68.77
BAYN,2019-12-12,69.85,68.54,69.58,69.8
BAYN,2019-12-13,71.6,70.48,70.81,71.01
BAYN,2019-12-16,71.63,71.05,71.38,71.59
BAYN,2018-07-17,93.59,92.09,92.6,93.48
BAYN,2018-07-18,93.65,92.82,93.26,93.0
BAYN,2018-07-19,92.76,91.99,92.46,92.4
BAYN,2018-07-31,95.53,94.34,95.05,95.26
BAYN,2018-08-01,96.0,95.21,95.5,95.8
BAYN,2018-08-02,95.05,93.93,94.13,94.17
BAYN,2018-10-24,69.62,68.1,69.17,68.27
BAYN,2018-10-25,67.88,65.01,67.72,66.23
BAYN,2018-10-26,67.0,64.83,65.9,66.15
BAYN,2018-11-14,66.46,64.1,65.04,64.5
BAYN,2018-11-15,64.5,62.93,64.14,63.51
BAYN,2018-11-16,63.24,61.66,63.22,62.59
BAYN,2018-12-19,63.3,60.55,62.97,61.63
BAYN,2018-12-20,61.81,60.78,61.39,61.0
BAYN,2018-12-21,61.39,60.4,60.57,61.39
BAYN,2019-03-27,57.4,56.31,56.97,56.33
BAYN,2019-03-28,56.76,55.27,55.36,56.29
BAYN,2019-03-29,57.6,56.21,56.35,57.6
BAYN,2019-04-17,62.32,61.46,61.8,61.54
BAYN,2019-04-18,62.0,60.94,61.22,61.16
BAYN,2019-04-23,62.35,61.33,61.53,62.0
BAYN,2019-05-06,61.25,60.8,61.0,61.13
BAYN,2019-05-07,60.95,59.43,60.7,59.61
BAYN,2019-05-08,59.81,59.19,59.52,59.65
BAYN,2019-07-17,59.7,58.9,59.55,59.01
BAYN,2019-07-18,59.61,58.76,59.0,58.76
BAYN,2019-07-19,59.89,59.03,59.89,59.55
BAYN,2019-09-11,69.48,68.98,69.11,69.0
BAYN,2019-09-12,68.8,67.31,68.41,68.01
BAYN,2019-09-13,68.6,67.78,67.92,68.06
BAYN,2019-09-25,66.35,65.32,65.52,66.07
BAYN,2019-09-26,65.81,64.4,65.8,64.61
BAYN,2019-09-27,65.05,64.5,64.79,64.68
BAYN,2019-10-02,62.34,60.62,62.2,60.62
BAYN,2019-10-04,62.28,60.83,61.11,62.28
BAYN,2019-10-07,63.89,63.1,63.3,63.13
BAYN,2019-10-17,66.93,65.8,66.2,65.97
BAYN,2019-10-18,66.0,65.24,65.92,65.24
BAYN,2019-10-21,65.84,65.21,65.38,65.73
BAYN,2019-02-20,68.63,67.59,68.14,68.36
BAYN,2019-02-21,68.62,67.63,68.35,67.9
BAYN,2019-02-22,68.4,67.0,68.09,67.0
BAYN,2019-02-06,69.22,68.14,68.91,69.07
BAYN,2019-02-07,68.65,67.0,68.37,67.0
BAYN,2019-02-08,67.21,65.8,67.1,66.2
BAYN,2019-03-20,63.0,60.49,61.37,63.0
BAYN,2019-03-21,62.5,60.98,62.43,61.28
BAYN,2019-03-22,60.79,59.2,60.58,59.3
BAYN,2019-12-19,71.5,70.74,71.27,71.01
BAYN,2019-12-20,71.5,70.54,71.0,71.5
BAYN,2019-12-23,73.89,73.35,73.66,73.6
BAYN,2018-01-05,109.4,105.74,106.48,108.22
BAYN,2018-01-08,108.86,107.92,108.76,108.12
BAYN,2018-01-19,104.64,103.78,103.8,104.06
BAYN,2018-01-22,105.94,104.48,104.54,105.88
BAYN,2018-02-02,102.58,101.72,102.24,101.94
BAYN,2018-02-05,101.16,100.18,100.7,100.54
BAYN,2018-05-09,102.16,100.7,101.08,102.16
BAYN,2018-05-10,102.96,101.82,102.32,102.84
BAYN,2018-05-16,103.84,102.28,102.54,103.44
BAYN,2018-05-17,104.5,103.34,103.46,104.44
BAYN,2018-01-26,107.84,106.72,107.82,107.0
BAYN,2018-01-29,106.6,105.64,106.44,106.36
BAYN,2018-05-24,103.7,101.68,103.58,102.1
BAYN,2018-05-25,103.92,102.22,103.52,102.82
BAYN,2018-05-31,102.46,100.78,102.24,101.46
BAYN,2018-06-01,103.84,103.0,103.3,103.1
BAYN,2018-01-12,105.1,104.08,105.0,104.7
BAYN,2018-01-15,105.0,104.14,104.48,104.54
BAYN,2018-04-17,100.9,99.61,100.0,100.58
BAYN,2018-04-18,101.02,100.14,100.98,100.5
BAYN,2018-06-14,101.0,98.25,98.44,100.68
BAYN,2018-06-15,100.82,99.42,100.64,100.18
BAYN,2018-03-02,94.11,92.45,93.97,92.79
BAYN,2018-03-05,94.66,92.04,92.47,94.62
BAYN,2018-03-09,98.53,97.17,97.47,97.65
BAYN,2018-03-12,98.13,97.27,97.84,98.08
BAYN,2018-03-16,95.87,94.31,94.54,95.87
BAYN,2018-03-19,95.09,93.49,94.75,93.57
BAYN,2018-03-23,91.86,89.92,91.73,90.47
BAYN,2018-03-26,91.03,88.81,90.84,89.23
BAYN,2018-04-03,91.13,90.26,90.66,90.63
BAYN,2018-04-04,91.66,89.62,90.08,91.35
BAYN,2018-05-02,100.34,99.14,99.7,99.97
BAYN,2018-05-03,100.2,98.84,99.88,99.72
BAYN,2018-06-07,99.63,98.25,99.56,98.78
BAYN,2018-06-08,98.64,97.02,97.48,98.32
BAYN,2018-06-28,95.27,93.33,94.97,93.98
BAYN,2018-06-29,95.81,94.52,95.79,94.57
BAYN,2018-07-20,93.35,91.48,93.27,92.05
BAYN,2018-07-23,92.74,92.03,92.03,92.51
BAYN,2018-08-03,95.79,95.05,95.42,95.28
BAYN,2018-08-06,96.45,94.69,94.77,95.07
BAYN,2018-08-31,81.46,80.38,81.13,80.38
BAYN,2018-09-03,80.65,80.06,80.47,80.45
BAYN,2018-09-07,73.58,71.66,72.85,73.49
BAYN,2018-09-10,73.73,72.44,72.75,72.44
BAYN,2018-09-21,76.52,75.73,76.07,76.52
BAYN,2018-09-24,76.37,75.82,75.82,76.15
BAYN,2018-09-28,77.17,76.01,77.07,76.51
BAYN,2018-10-01,76.63,75.35,76.56,75.84
BAYN,2018-10-22,77.37,76.52,76.69,76.54
BAYN,2018-10-23,70.73,67.07,70.62,69.27
BAYN,2018-11-12,70.83,68.28,70.74,68.61
BAYN,2018-11-13,69.57,65.75,69.31,66.64
BAYN,2018-11-26,65.06,63.45,63.55,64.23
BAYN,2018-11-27,64.62,62.95,64.07,63.75
BAYN,2019-01-14,65.23,64.54,65.12,64.85
BAYN,2019-01-15,65.43,63.14,64.97,65.02
BAYN,2019-01-28,67.14,66.38,66.83,66.59
BAYN,2019-01-29,66.59,65.23,65.35,65.99
BAYN,2019-03-04,72.98,72.16,72.63,72.35
BAYN,2019-03-05,72.91,72.19,72.84,72.81
BAYN,2019-04-01,58.31,57.89,58.08,58.26
BAYN,2019-04-02,59.45,58.41,58.41,59.15
BAYN,2019-04-15,61.85,61.25,61.53,61.71
BAYN,2019-04-16,62.56,62.01,62.39,62.21
BAYN,2019-05-02,62.18,61.05,61.07,61.57
BAYN,2019-05-03,62.45,61.65,61.95,61.87
BAYN,2019-05-09,58.34,56.99,58.19,57.07
BAYN,2019-05-10,58.18,57.17,57.84,57.54
BAYN,2019-06-07,53.36,52.45,53.19,52.87
BAYN,2019-06-11,54.38,53.35,53.39,53.85
BAYN,2019-06-17,52.95,52.21,52.67,52.53
BAYN,2019-06-18,54.42,52.94,52.96,54.07
BAYN,2019-07-01,62.19,61.31,62.04,61.31
BAYN,2019-07-02,60.79,60.36,60.56,60.53
BAYN,2019-07-29,59.82,59.26,59.82,59.33
BAYN,2019-07-30,57.51,56.52,57.03,57.16
BAYN,2019-08-26,66.67,66.13,66.48,66.62
BAYN,2019-08-27,67.35,66.45,66.45,66.98
BAYN,2019-09-09,67.38,66.71,66.99,67.26
BAYN,2019-09-10,69.07,67.79,67.95,69.07
BAYN,2019-09-30,65.27,64.69,65.04,64.69
BAYN,2019-10-01,64.47,62.48,64.35,62.48
BAYN,2019-10-15,67.22,65.72,65.83,66.64
