Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
BMW,2018-01-02,86.34,83.88,84.47,86.17
BMW,2018-01-03,87.36,86.46,86.84,87.11
BMW,2018-01-04,88.22,87.38,87.68,87.51
BMW,2018-01-19,94.81,94.14,94.34,94.74
BMW,2018-01-22,96.43,94.89,94.96,96.16
BMW,2018-01-23,96.52,94.92,96.51,95.42
BMW,2018-01-26,93.89,92.74,93.11,93.66
BMW,2018-01-29,94.32,93.28,93.94,93.61
BMW,2018-01-30,93.16,91.89,92.83,92.66
BMW,2018-03-16,86.19,85.43,85.56,85.96
BMW,2018-03-19,85.35,84.43,84.92,85.01
BMW,2018-03-20,86.41,84.81,85.17,86.11
BMW,2018-05-02,93.87,92.97,93.58,93.11
BMW,2018-05-03,93.05,92.08,92.84,92.34
BMW,2018-05-04,91.85,90.43,90.52,91.59
BMW,2018-06-28,78.44,77.03,78.34,77.49
BMW,2018-06-29,78.38,77.56,78.29,77.85
BMW,2018-07-02,78.51,77.76,78.29,77.79
BMW,2018-08-03,83.02,82.22,82.25,82.34
BMW,2018-08-06,84.38,82.88,82.95,83.51
BMW,2018-08-07,84.79,84.05,84.61,84.05
BMW,2018-08-17,81.66,80.46,81.64,81.41
BMW,2018-08-20,82.22,81.73,81.98,81.75
BMW,2018-08-21,83.15,82.08,82.44,82.93
BMW,2018-08-24,81.44,80.76,80.94,81.29
BMW,2018-08-27,83.33,82.58,82.71,83.19
BMW,2018-08-28,85.19,84.26,85.06,84.39
BMW,2018-10-08,77.34,76.72,77.16,76.87
BMW,2018-10-09,76.64,75.66,76.39,76.39
BMW,2018-10-10,75.84,75.12,75.68,75.35
BMW,2018-11-02,79.12,77.67,78.49,77.74
BMW,2018-11-05,78.12,77.23,77.75,77.23
BMW,2018-11-06,77.03,76.42,76.72,76.92
BMW,2018-11-30,72.38,71.36,72.09,72.21
BMW,2018-12-03,77.56,75.01,77.05,75.66
BMW,2018-12-04,75.09,73.65,74.14,74.43
BMW,2019-01-09,73.78,72.32,73.54,72.95
BMW,2019-01-10,72.89,71.94,71.94,72.53
BMW,2019-01-11,72.38,70.63,72.25,71.83
BMW,2019-01-16,71.65,71.05,71.38,71.53
BMW,2019-01-17,71.43,70.72,71.03,71.26
BMW,2019-01-18,73.62,72.18,72.19,73.34
BMW,2019-01-23,72.59,71.67,71.85,72.23
BMW,2019-01-24,73.12,72.33,72.78,73.12
BMW,2019-01-25,74.75,73.94,74.19,74.35
BMW,2019-02-06,73.79,72.89,73.24,73.65
BMW,2019-02-07,73.06,71.22,72.98,71.22
BMW,2019-02-08,70.88,69.01,70.64,69.53
BMW,2019-02-13,70.53,69.68,70.17,70.39
BMW,2019-02-14,70.66,69.34,70.55,69.35
BMW,2019-02-15,71.16,68.42,68.45,70.77
BMW,2019-03-27,68.95,67.73,68.33,68.23
BMW,2019-03-28,68.59,67.74,68.26,67.89
BMW,2019-03-29,68.99,68.06,68.19,68.75
BMW,2019-04-03,72.87,72.46,72.65,72.58
BMW,2019-04-04,73.85,73.02,73.21,73.34
BMW,2019-04-05,74.14,73.77,73.89,73.79
BMW,2019-04-10,73.58,72.89,73.09,73.19
BMW,2019-04-11,73.84,72.84,72.92,73.51
BMW,2019-04-12,75.54,74.47,74.48,75.29
BMW,2019-06-26,64.75,63.42,63.49,64.57
BMW,2019-06-27,65.53,64.67,65.53,64.85
BMW,2019-06-28,65.13,64.39,64.67,65.09
BMW,2019-07-10,66.02,65.49,65.81,65.65
BMW,2019-07-11,65.71,64.97,65.58,65.24
BMW,2019-07-12,66.56,65.58,65.64,65.89
BMW,2019-07-24,70.39,69.44,69.45,70.01
BMW,2019-07-25,69.78,68.05,69.17,68.95
BMW,2019-07-26,68.95,68.42,68.77,68.67
BMW,2019-08-28,59.74,58.75,59.24,59.72
BMW,2019-08-29,60.34,59.75,60.15,60.17
