Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
CBK,2018-04-12,10.854,10.656,10.662,10.806
CBK,2018-04-13,11.038,10.684,10.942,10.756
CBK,2018-04-16,10.794,10.68,10.686,10.746
CBK,2018-05-18,10.392,10.082,10.276,10.112
CBK,2018-05-22,10.36,10.104,10.142,10.342
CBK,2018-05-23,10.166,10.068,10.138,10.156
CBK,2018-01-23,13.682,13.386,13.66,13.514
CBK,2018-01-24,13.67,13.516,13.582,13.526
CBK,2018-01-25,13.658,13.444,13.552,13.648
CBK,2018-02-20,13.018,12.854,12.932,12.972
CBK,2018-02-21,13.15,12.906,12.96,13.132
CBK,2018-02-22,13.118,12.936,13.054,13.046
CBK,2018-04-05,10.682,10.482,10.552,10.674
CBK,2018-04-06,10.712,10.51,10.642,10.522
CBK,2018-04-09,10.776,10.472,10.77,10.542
CBK,2018-04-26,10.898,10.738,10.84,10.846
CBK,2018-04-27,10.842,10.706,10.762,10.77
CBK,2018-04-30,10.786,10.676,10.774,10.712
CBK,2018-02-06,12.692,12.284,12.532,12.384
CBK,2018-02-07,12.812,12.318,12.484,12.76
CBK,2018-02-08,13.15,12.38,13.076,12.388
CBK,2018-03-06,12.394,12.21,12.236,12.218
CBK,2018-03-07,12.338,12.098,12.174,12.24
CBK,2018-03-08,12.638,12.114,12.184,12.41
CBK,2018-05-04,10.628,10.456,10.54,10.604
CBK,2018-05-07,10.668,10.514,10.572,10.652
CBK,2018-05-08,10.624,10.312,10.394,10.6
CBK,2018-01-09,12.76,12.608,12.742,12.626
CBK,2018-01-10,13.27,12.96,13.08,13.236
CBK,2018-01-11,13.538,13.194,13.202,13.488
CBK,2018-01-30,13.51,13.3,13.398,13.346
CBK,2018-01-31,13.414,13.262,13.414,13.276
CBK,2018-02-01,13.61,13.212,13.568,13.292
CBK,2018-02-13,12.39,12.164,12.226,12.224
CBK,2018-02-14,12.71,12.244,12.328,12.7
CBK,2018-02-15,13.042,12.714,13.024,12.824
CBK,2018-02-27,12.898,12.48,12.67,12.848
CBK,2018-02-28,12.966,12.714,12.768,12.72
CBK,2018-03-01,12.732,12.468,12.59,12.522
CBK,2018-05-11,10.838,10.762,10.818,10.8
CBK,2018-05-14,10.856,10.574,10.82,10.608
CBK,2018-05-15,11.05,10.802,10.948,11.006
CBK,2018-01-02,12.714,12.404,12.594,12.64
CBK,2018-01-03,12.706,12.558,12.638,12.62
CBK,2018-01-04,12.96,12.692,12.7,12.864
CBK,2018-03-13,12.44,12.04,12.43,12.08
CBK,2018-03-14,12.154,11.866,12.056,11.884
CBK,2018-03-15,11.966,11.744,11.87,11.854
CBK,2018-03-20,12.056,11.914,11.98,12.038
CBK,2018-03-21,11.968,11.744,11.87,11.922
CBK,2018-03-22,11.64,10.96,11.634,11.19
CBK,2018-01-16,13.256,13.1,13.128,13.13
CBK,2018-01-17,13.204,12.91,13.196,12.992
CBK,2018-01-18,13.186,13.03,13.13,13.104
CBK,2018-03-27,11.114,10.822,11.1,10.86
CBK,2018-03-28,10.706,10.486,10.556,10.626
CBK,2018-03-29,10.718,10.53,10.7,10.566
CBK,2018-04-19,10.832,10.672,10.71,10.83
CBK,2018-04-20,10.818,10.73,10.762,10.8
CBK,2018-04-23,11.132,10.84,10.848,11.128
CBK,2019-10-02,5.179,5.027,5.158,5.033
CBK,2019-10-04,4.9335,4.8535,4.915,4.918
CBK,2019-10-07,4.944,4.8455,4.8625,4.8935
CBK,2019-08-14,4.9455,4.775,4.936,4.8115
CBK,2019-08-15,4.8365,4.658,4.829,4.72
CBK,2019-08-16,5.003,4.705,4.883,5.001
CBK,2019-08-21,4.99,4.9115,4.9785,4.93
CBK,2019-08-22,5.127,4.9685,4.997,5.019
CBK,2019-08-23,5.078,4.903,5.051,4.903
CBK,2018-06-25,8.389,8.263,8.372,8.286
CBK,2018-06-26,8.339,8.111,8.325,8.203
CBK,2018-06-27,8.227,8.017,8.027,8.131
CBK,2018-08-14,8.374,8.275,8.315,8.328
CBK,2018-08-15,8.317,8.108,8.314,8.162
CBK,2018-08-16,8.275,8.072,8.195,8.222
CBK,2018-10-31,8.439,8.339,8.426,8.339
CBK,2018-11-01,8.582,8.425,8.436,8.474
CBK,2018-11-02,8.825,8.655,8.706,8.699
CBK,2018-11-07,8.547,8.355,8.532,8.363
CBK,2018-11-08,8.944,8.664,8.791,8.811
CBK,2018-11-09,8.766,8.503,8.636,8.714
CBK,2019-05-06,7.924,7.811,7.845,7.921
CBK,2019-05-07,7.933,7.692,7.918,7.743
CBK,2019-05-08,7.836,7.609,7.756,7.813
CBK,2019-05-27,6.692,6.633,6.668,6.673
CBK,2019-05-28,6.652,6.513,6.587,6.532
CBK,2019-05-29,6.499,6.421,6.438,6.467
CBK,2019-06-19,6.408,6.236,6.243,6.382
CBK,2019-06-20,6.274,6.137,6.268,6.167
CBK,2019-06-21,6.281,6.141,6.249,6.156
CBK,2019-07-10,6.573,6.417,6.472,6.417
CBK,2019-07-11,6.548,6.385,6.421,6.514
CBK,2019-07-12,6.648,6.472,6.577,6.529
CBK,2019-07-17,6.598,6.466,6.575,6.509
CBK,2019-07-18,6.423,6.328,6.379,6.363
CBK,2019-07-19,6.273,6.165,6.271,6.214
CBK,2019-08-28,5.021,4.9395,4.9695,4.983
CBK,2019-08-29,5.226,5.056,5.064,5.139
CBK,2019-08-30,5.21,5.121,5.18,5.159
CBK,2019-10-17,5.482,5.334,5.336,5.357
CBK,2019-10-18,5.392,5.296,5.384,5.303
CBK,2019-10-21,5.606,5.504,5.511,5.585
CBK,2018-06-18,8.955,8.828,8.904,8.884
CBK,2018-06-19,8.99,8.702,8.702,8.917
