Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
DAI,2019-06-05,48.765,47.615,48.51,48.05
DAI,2019-06-06,48.335,47.015,48.075,47.315
DAI,2019-06-07,47.805,47.27,47.63,47.605
DAI,2019-09-05,45.595,44.735,44.735,45.35
DAI,2019-09-06,45.69,45.145,45.275,45.405
DAI,2019-09-09,46.515,45.805,45.98,46.45
DAI,2019-09-26,45.445,44.805,45.415,44.865
DAI,2019-09-27,45.51,45.225,45.385,45.38
DAI,2019-09-30,45.695,45.315,45.56,45.62
DAI,2019-10-04,43.81,43.255,43.635,43.81
DAI,2019-10-07,43.975,43.485,43.57,43.805
DAI,2019-10-08,43.58,42.895,43.525,43.555
DAI,2019-10-18,49.075,48.425,48.815,48.425
DAI,2019-10-21,49.53,49.085,49.155,49.2
DAI,2019-10-22,49.965,49.45,49.685,49.645
DAI,2019-12-05,49.87,49.26,49.58,49.26
DAI,2019-12-06,49.475,48.715,49.325,49.455
DAI,2019-12-09,49.615,48.975,49.595,49.055
DAI,2019-07-25,48.995,47.67,48.46,48.255
DAI,2019-07-26,48.455,48.195,48.285,48.375
DAI,2019-07-29,48.53,48.235,48.51,48.47
DAI,2019-01-10,49.29,48.465,48.51,49.29
DAI,2019-01-11,49.115,48.14,48.965,48.905
DAI,2019-01-14,49.49,48.705,48.83,49.275
DAI,2019-05-28,48.325,47.615,47.615,47.68
DAI,2019-05-29,47.485,47.025,47.175,47.23
DAI,2019-05-30,47.405,47.04,47.33,47.3
DAI,2018-12-27,46.74,44.81,46.645,45.27
DAI,2018-12-28,46.145,45.76,46.105,45.91
DAI,2019-01-02,45.325,44.51,44.685,45.25
DAI,2019-01-03,45.405,44.77,45.125,44.775
DAI,2019-01-04,47.07,45.525,45.695,47.07
DAI,2019-01-07,47.45,46.68,47.32,47.16
DAI,2019-02-07,50.93,49.225,50.82,49.225
DAI,2019-02-08,49.265,47.9,49.065,48.01
DAI,2019-02-11,48.38,47.865,48.235,48.16
DAI,2019-06-13,48.245,47.925,48.02,48.175
DAI,2019-06-14,47.61,47.18,47.5,47.42
DAI,2019-06-17,47.665,47.245,47.33,47.315
DAI,2019-07-11,46.92,46.385,46.795,46.65
DAI,2019-07-12,46.52,45.835,46.355,46.34
DAI,2019-07-15,46.72,46.285,46.55,46.52
DAI,2019-07-18,45.965,45.38,45.675,45.38
DAI,2019-07-19,45.765,45.39,45.765,45.44
DAI,2019-07-22,46.235,45.79,45.93,46.04
DAI,2019-08-01,47.145,46.24,46.85,46.8
DAI,2019-08-02,45.71,44.91,45.115,45.225
DAI,2019-08-05,44.425,43.665,44.16,43.935
DAI,2019-06-20,49.855,49.34,49.635,49.37
DAI,2019-06-21,49.69,49.165,49.535,49.62
DAI,2019-06-24,47.99,47.26,47.34,47.76
DAI,2019-07-04,49.535,49.035,49.33,49.035
DAI,2019-07-05,49.205,48.74,48.83,49.12
DAI,2019-07-08,49.02,48.24,48.87,48.58
DAI,2019-08-22,42.715,41.83,42.125,42.02
DAI,2019-08-23,42.31,40.665,42.26,40.72
