Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
EBA,2019-11-19,31.785,31.645,31.725,31.655
EBA,2019-11-20,31.705,31.695,31.695,31.705
EBA,2019-11-21,31.725,31.645,31.725,31.645
EBA,2019-05-24,32.315,31.685,32.155,31.985
EBA,2019-05-27,32.13,32.085,32.13,32.085
EBA,2019-05-28,32.495,32.275,32.275,32.495
EBA,2019-07-04,35.51,35.365,35.51,35.365
EBA,2019-07-05,35.465,35.305,35.305,35.465
EBA,2019-07-08,35.355,35.155,35.355,35.155
EBA,2019-05-31,32.295,32.245,32.285,32.245
EBA,2019-06-04,32.455,31.725,31.725,32.455
EBA,2019-06-05,32.43,32.27,32.43,32.305
EBA,2019-08-12,35.945,35.36,35.945,35.375
EBA,2019-08-13,36.505,35.435,35.435,36.42
EBA,2019-08-15,35.985,35.345,35.345,35.58
EBA,2019-12-17,31.77,31.655,31.655,31.675
EBA,2019-12-18,32.52,31.795,32.175,32.19
EBA,2019-12-19,32.335,31.845,31.905,32.335
EBA,2019-06-27,34.69,34.515,34.585,34.605
EBA,2019-06-28,34.765,34.49,34.765,34.515
EBA,2019-07-01,35.465,35.1,35.185,35.125
EBA,2019-09-10,37.42,36.465,37.215,36.465
EBA,2019-09-11,36.555,36.33,36.555,36.54
EBA,2019-09-12,36.725,36.265,36.66,36.265
EBA,2019-09-19,36.91,36.865,36.865,36.91
EBA,2019-09-20,36.92,36.895,36.895,36.92
EBA,2019-09-23,36.635,36.325,36.325,36.535
EBA,2019-09-26,36.09,35.57,35.995,35.625
EBA,2019-09-27,35.485,35.08,35.08,35.475
EBA,2019-09-30,35.635,35.305,35.305,35.635
EBA,2018-07-04,31.71,31.26,31.26,31.475
EBA,2018-07-05,31.505,31.505,31.505,31.505
EBA,2018-07-06,31.865,31.41,31.41,31.865
EBA,2019-10-04,34.775,34.39,34.58,34.775
EBA,2019-10-07,34.725,34.455,34.725,34.6
EBA,2019-10-08,34.355,34.215,34.35,34.215
EBA,2019-10-11,35.19,34.865,34.875,35.17
EBA,2019-10-14,35.05,34.935,35.05,34.995
EBA,2019-10-15,35.345,34.865,35.085,35.19
EBA,2019-05-17,33.295,33.295,33.295,33.295
EBA,2019-05-20,32.96,32.645,32.94,32.77
EBA,2019-05-21,32.89,32.735,32.79,32.84
EBA,2019-06-13,34.825,34.515,34.515,34.65
EBA,2019-06-14,34.91,34.69,34.69,34.795
EBA,2019-06-17,34.835,34.58,34.58,34.835
EBA,2019-08-05,35.94,35.205,35.94,35.205
EBA,2019-08-06,35.005,34.57,34.62,34.745
EBA,2019-08-07,35.795,34.94,35.795,35.14
EBA,2019-10-25,32.335,32.01,32.225,32.335
EBA,2019-10-28,32.575,32.275,32.4,32.53
EBA,2019-10-29,32.545,32.25,32.45,32.545
EBA,2019-11-26,32.6,32.25,32.55,32.415
EBA,2019-11-27,32.685,32.445,32.685,32.615
EBA,2019-11-28,32.735,32.555,32.64,32.56
EBA,2019-12-03,31.62,31.145,31.62,31.145
EBA,2019-12-04,31.58,31.42,31.545,31.58
EBA,2019-12-05,31.585,31.285,31.58,31.495
EBA,2019-07-11,34.995,34.95,34.95,34.995
EBA,2019-07-12,35.38,35.365,35.38,35.375
EBA,2019-07-15,35.65,35.265,35.65,35.63
EBA,2019-05-03,33.98,33.855,33.855,33.98
EBA,2019-05-06,33.915,33.325,33.33,33.855
EBA,2019-05-07,33.73,33.47,33.6,33.68
EBA,2019-06-20,35.745,35.665,35.745,35.67
EBA,2019-06-21,35.28,35.115,35.25,35.245
EBA,2019-06-24,35.19,35.0,35.15,35.15
EBA,2019-08-20,36.625,36.19,36.355,36.265
EBA,2019-08-21,36.4,36.3,36.3,36.39
EBA,2019-08-22,36.545,36.085,36.545,36.085
EBA,2019-09-03,36.935,36.29,36.675,36.29
EBA,2019-09-04,36.24,35.815,36.24,35.93
EBA,2019-09-05,36.605,36.035,36.2,36.57
EBA,2019-12-10,31.615,31.065,31.065,31.445
EBA,2019-12-11,31.51,31.345,31.5,31.42
EBA,2019-12-12,31.715,31.3,31.3,31.575
EBA,2019-05-10,33.35,32.785,33.33,32.785
EBA,2019-05-13,33.105,32.01,33.09,32.02
EBA,2019-05-14,32.11,32.05,32.05,32.11
EBA,2019-07-25,37.07,36.77,37.0,36.83
EBA,2019-07-26,37.125,36.56,36.67,37.125
EBA,2019-07-29,37.325,36.97,37.05,37.235
EBA,2019-08-27,35.795,35.52,35.615,35.545
EBA,2019-08-28,35.11,35.05,35.05,35.11
EBA,2019-08-29,36.68,36.58,36.58,36.68
EBA,2019-11-01,31.89,31.52,31.53,31.6
EBA,2019-11-04,31.805,31.675,31.675,31.805
EBA,2019-11-05,32.22,32.15,32.15,32.18
EBA,2019-11-12,32.01,31.93,31.93,31.98
EBA,2019-11-13,31.87,31.495,31.7,31.705
EBA,2019-11-14,31.605,31.395,31.4,31.605
EBA,2018-07-11,31.63,31.545,31.63,31.545
EBA,2018-07-12,32.095,31.97,31.97,32.095
EBA,2018-07-16,32.35,32.1,32.1,32.35
EBA,2019-04-05,34.09,33.77,33.79,33.91
EBA,2019-04-08,33.73,33.43,33.43,33.63
EBA,2019-04-09,33.45,33.285,33.285,33.45
EBA,2019-04-16,32.32,32.165,32.32,32.305
EBA,2019-04-17,32.4,31.77,32.105,31.78
EBA,2019-04-18,32.03,31.6,31.79,32.02
EBA,2018-02-06,34.29,33.15,33.67,34.24
EBA,2018-02-07,35.09,34.36,34.62,35.09
