Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
FB2A,2019-01-23,130.95,126.91,129.36,127.41
FB2A,2019-01-24,128.76,125.48,127.12,126.97
FB2A,2019-01-25,130.48,128.83,129.37,130.48
FB2A,2018-04-12,136.31,132.99,134.71,133.54
FB2A,2018-04-13,134.32,132.76,133.06,133.41
FB2A,2018-04-16,134.24,131.74,133.84,132.0
FB2A,2018-05-18,156.48,155.15,155.94,155.78
FB2A,2018-05-22,157.26,156.25,156.39,156.28
FB2A,2018-05-23,157.72,155.0,155.38,157.61
FB2A,2018-06-25,171.99,167.26,171.61,168.68
FB2A,2018-06-26,170.42,168.29,169.1,168.51
FB2A,2018-06-27,172.82,168.82,168.82,172.24
FB2A,2018-11-07,133.24,130.97,132.33,132.0
FB2A,2018-11-08,132.67,128.45,132.36,129.47
FB2A,2018-11-09,130.07,128.15,129.49,128.73
FB2A,2018-11-14,127.65,124.82,125.5,125.45
FB2A,2018-11-15,127.27,124.48,127.17,125.18
FB2A,2018-11-16,126.09,121.14,126.09,121.99
FB2A,2018-12-05,122.9,121.38,122.83,122.29
FB2A,2018-12-06,120.06,116.87,118.99,119.18
FB2A,2018-12-07,123.36,121.01,121.94,121.24
FB2A,2018-12-19,126.71,123.15,125.25,123.25
FB2A,2018-12-20,118.39,113.75,115.21,116.57
FB2A,2018-12-21,118.0,111.52,116.07,111.82
FB2A,2019-01-09,125.58,122.95,125.32,124.06
FB2A,2019-01-10,124.43,122.3,123.95,124.43
FB2A,2019-01-11,125.26,124.02,124.87,124.92
FB2A,2019-01-16,131.22,128.98,130.92,129.26
FB2A,2019-01-17,130.83,128.19,128.57,130.83
FB2A,2019-01-18,134.04,130.2,130.43,133.69
FB2A,2019-02-27,143.85,141.13,143.32,142.91
FB2A,2019-02-28,143.38,141.78,142.26,142.36
FB2A,2019-03-01,143.18,142.1,142.81,142.12
FB2A,2019-03-27,150.0,146.53,148.68,147.15
FB2A,2019-03-28,148.36,145.56,147.72,147.45
FB2A,2019-03-29,148.78,146.95,147.82,148.27
FB2A,2019-05-13,165.22,162.52,164.88,162.78
FB2A,2019-05-14,163.44,159.16,162.4,162.58
FB2A,2019-05-15,165.94,160.28,161.64,165.94
FB2A,2019-12-19,184.58,181.88,181.92,184.26
FB2A,2019-12-20,187.4,183.76,185.02,185.72
FB2A,2019-12-23,187.92,185.58,186.08,186.06
FB2A,2018-02-13,143.24,140.81,142.78,140.91
FB2A,2018-02-14,143.26,140.2,141.3,142.84
FB2A,2018-02-15,144.99,141.97,144.27,143.34
FB2A,2018-02-27,150.49,149.06,149.5,149.63
FB2A,2018-02-28,149.92,148.61,148.87,148.96
FB2A,2018-03-01,147.6,145.16,146.79,145.38
FB2A,2018-03-13,150.2,146.56,149.3,146.56
FB2A,2018-03-14,148.77,147.09,147.79,147.43
FB2A,2018-03-15,149.54,147.87,148.78,148.02
FB2A,2018-03-20,140.39,131.92,138.19,135.03
FB2A,2018-03-21,140.4,132.8,133.55,140.13
FB2A,2018-03-22,138.12,132.93,135.67,134.28
FB2A,2018-04-19,135.47,133.81,134.93,134.96
FB2A,2018-04-20,137.2,135.62,135.63,135.64
FB2A,2018-04-23,137.5,135.09,135.99,137.43
FB2A,2018-05-04,148.12,144.8,146.08,147.76
FB2A,2018-05-07,150.5,148.53,148.97,150.19
FB2A,2018-05-08,150.87,149.17,149.29,149.96
FB2A,2018-05-28,159.8,158.37,158.37,159.02
FB2A,2018-05-29,161.39,158.7,158.85,160.73
FB2A,2018-05-30,161.72,159.38,160.44,161.12
FB2A,2018-07-09,174.55,172.05,173.5,173.59
FB2A,2018-07-10,175.49,173.5,174.99,173.72
FB2A,2018-07-11,174.08,171.84,171.93,173.04
FB2A,2018-07-31,148.16,145.23,146.2,148.01
FB2A,2018-08-01,149.93,147.79,148.5,147.79
FB2A,2018-08-02,149.64,146.15,146.95,149.64
FB2A,2018-08-07,162.44,159.44,161.43,159.65
FB2A,2018-08-08,160.81,158.46,159.09,160.81
FB2A,2018-08-09,161.0,159.6,160.07,159.89
FB2A,2018-08-28,152.5,150.67,152.31,150.9
FB2A,2018-08-29,151.66,149.94,151.08,150.56
FB2A,2018-08-30,154.23,149.71,149.95,153.22
FB2A,2018-09-18,137.95,135.0,137.89,137.95
FB2A,2018-09-19,138.18,136.19,136.64,138.18
FB2A,2018-09-20,141.38,139.2,139.85,141.18
FB2A,2018-09-25,139.95,136.16,137.74,139.39
FB2A,2018-09-26,142.75,139.82,140.05,142.31
FB2A,2018-09-27,145.99,142.4,142.4,145.44
