Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
MSF,2019-03-20,103.96,102.77,103.72,103.04
MSF,2019-03-21,104.53,102.54,102.87,104.29
MSF,2019-03-22,106.38,104.22,106.03,104.55
MSF,2019-05-06,114.42,112.28,112.52,114.16
MSF,2019-05-07,114.24,111.64,114.22,112.48
MSF,2019-05-08,112.84,111.18,112.74,112.06
MSF,2019-07-24,125.46,124.52,124.94,125.46
MSF,2019-07-25,126.98,124.84,126.68,125.68
MSF,2019-07-26,126.88,126.02,126.36,126.88
MSF,2019-10-02,124.96,122.04,124.94,122.36
MSF,2019-10-04,125.68,123.44,124.16,125.22
MSF,2019-10-07,126.02,124.64,125.62,125.46
MSF,2019-10-17,127.06,125.08,126.86,125.08
MSF,2019-10-18,126.04,123.86,125.92,123.86
MSF,2019-10-21,124.48,122.92,123.96,123.58
MSF,2019-04-03,107.06,105.97,106.74,107.06
MSF,2019-04-04,107.25,105.86,106.75,105.99
MSF,2019-04-05,107.11,106.2,106.79,106.99
MSF,2019-06-26,119.42,118.16,118.76,118.52
MSF,2019-06-27,118.68,117.52,118.68,117.52
MSF,2019-06-28,118.62,117.12,118.4,117.26
MSF,2019-09-11,124.24,122.86,123.62,123.32
MSF,2019-09-12,125.44,123.56,123.96,124.38
MSF,2019-09-13,124.76,123.5,124.18,124.06
MSF,2019-09-25,125.92,123.9,124.44,125.68
MSF,2019-09-26,127.98,126.68,127.72,127.06
MSF,2019-09-27,128.26,126.96,127.72,127.44
MSF,2019-04-10,106.9,105.84,106.18,106.74
MSF,2019-04-11,107.16,106.4,106.98,106.82
MSF,2019-04-12,107.14,106.34,107.06,106.66
MSF,2019-04-26,117.0,115.66,115.82,116.14
MSF,2019-04-29,116.86,115.98,116.82,116.1
MSF,2019-04-30,116.42,115.44,115.72,115.78
MSF,2019-05-13,111.62,109.92,111.52,110.2
MSF,2019-05-14,112.02,110.34,110.42,112.02
MSF,2019-05-15,112.48,110.32,111.26,112.4
MSF,2019-05-27,113.16,112.52,112.96,113.16
MSF,2019-05-28,114.36,112.7,112.72,113.86
MSF,2019-05-29,112.76,111.9,112.16,112.26
MSF,2019-07-31,126.38,124.66,126.14,125.0
MSF,2019-08-01,127.3,123.98,123.98,127.08
MSF,2019-08-02,124.48,122.08,123.46,122.18
MSF,2019-09-04,125.34,124.0,125.22,124.48
MSF,2019-09-05,126.92,125.4,126.12,126.56
MSF,2019-09-06,127.44,125.26,126.98,125.96
MSF,2019-10-24,126.12,124.0,124.52,126.12
MSF,2019-10-25,127.36,125.5,125.76,127.06
MSF,2019-10-28,131.48,129.38,131.02,129.46
MSF,2019-10-31,129.9,128.66,129.68,128.98
MSF,2019-11-01,129.62,128.1,129.06,128.24
MSF,2019-11-04,130.04,129.36,129.52,129.82
MSF,2019-11-21,135.18,134.24,134.58,134.82
MSF,2019-11-22,135.96,134.92,135.62,135.3
MSF,2019-11-25,137.06,136.2,136.48,137.04
MSF,2019-12-05,136.14,134.86,135.5,134.92
MSF,2019-12-06,136.98,135.12,135.12,136.94
MSF,2019-12-09,137.48,136.1,137.06,137.06
