Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
NFC,2018-06-18,340.19,333.69,336.68,340.19
NFC,2018-06-19,344.66,333.06,334.83,343.19
NFC,2018-06-20,359.68,353.51,356.01,358.68
NFC,2018-05-18,277.54,275.0,276.82,275.97
NFC,2018-05-22,285.72,281.41,283.35,282.81
NFC,2018-05-23,286.24,278.65,279.35,285.71
NFC,2018-06-25,350.0,327.39,346.05,327.39
NFC,2018-06-26,342.19,333.34,333.56,339.47
NFC,2018-06-27,354.67,338.85,338.96,346.89
NFC,2018-07-09,355.22,350.79,351.55,353.38
NFC,2018-07-10,359.99,353.4,358.48,355.52
NFC,2018-07-11,357.35,349.51,349.99,354.25
NFC,2018-07-17,316.47,294.46,300.66,315.64
NFC,2018-07-18,330.76,320.15,328.93,325.0
NFC,2018-07-19,323.43,317.32,322.71,319.62
NFC,2018-07-31,289.16,280.52,285.51,288.75
NFC,2018-08-01,294.81,286.75,290.85,290.43
NFC,2018-08-02,293.24,287.51,288.81,292.4
NFC,2018-08-07,307.94,301.65,304.23,301.65
NFC,2018-08-08,304.0,301.12,303.59,301.35
NFC,2018-08-09,304.02,298.73,299.56,303.11
NFC,2018-09-11,306.09,296.75,299.5,305.01
NFC,2018-09-12,313.72,306.84,308.79,312.95
NFC,2018-09-13,319.84,314.57,318.99,318.33
NFC,2018-09-18,309.37,300.66,302.42,309.37
NFC,2018-09-19,323.02,308.21,314.17,312.83
NFC,2018-09-20,315.35,309.58,313.33,310.4
NFC,2018-09-25,315.75,309.82,314.8,312.52
NFC,2018-09-26,321.47,314.74,315.49,321.47
NFC,2018-09-27,326.83,322.54,323.75,324.93
NFC,2018-11-07,285.06,271.2,274.13,283.18
NFC,2018-11-08,290.41,282.91,286.53,285.31
NFC,2018-11-09,278.74,268.72,278.01,269.87
NFC,2018-11-21,241.43,231.51,237.0,235.24
NFC,2018-11-22,228.96,225.05,228.68,225.34
NFC,2018-11-23,232.71,227.13,228.29,228.77
NFC,2018-12-12,246.48,235.07,236.79,245.59
NFC,2018-12-13,245.64,240.58,243.3,243.02
NFC,2018-12-14,244.55,238.02,238.02,244.55
NFC,2018-12-19,245.58,236.32,237.89,243.31
NFC,2018-12-20,235.53,224.87,231.0,225.54
NFC,2018-12-21,231.59,218.66,227.55,220.15
NFC,2019-03-20,320.63,314.91,317.54,319.26
NFC,2019-03-21,332.0,326.37,328.32,329.71
NFC,2019-03-22,334.44,323.61,333.46,325.29
NFC,2018-03-06,262.32,255.76,258.09,257.5
NFC,2018-03-07,260.92,255.01,255.16,258.19
NFC,2018-03-08,262.15,254.76,260.1,256.41
NFC,2018-03-20,260.15,253.35,253.85,259.03
NFC,2018-03-21,259.66,256.5,258.94,259.01
NFC,2018-03-22,255.3,248.91,255.21,251.24
NFC,2018-05-04,264.79,258.26,261.37,263.99
NFC,2018-05-07,275.39,268.5,269.44,275.39
NFC,2018-05-08,275.99,273.0,273.51,275.79
NFC,2018-05-11,277.94,272.93,277.48,274.02
NFC,2018-05-14,275.98,273.0,273.71,275.98
NFC,2018-05-15,276.39,272.43,275.0,272.44
NFC,2018-07-24,313.83,305.1,312.06,305.95
NFC,2018-07-25,307.11,302.85,305.06,306.3
NFC,2018-07-26,313.21,302.18,303.68,312.75
NFC,2018-08-14,302.05,295.8,299.76,297.97
NFC,2018-08-15,297.5,283.65,297.22,286.29
NFC,2018-08-16,290.92,286.88,288.61,288.16
NFC,2018-10-02,335.05,328.02,329.5,331.54
NFC,2018-10-04,327.04,317.25,325.72,319.08
NFC,2018-10-05,316.11,300.83,315.19,301.2
NFC,2018-10-10,309.4,287.69,308.06,288.63
NFC,2018-10-11,288.63,273.31,275.5,278.67
NFC,2018-10-12,295.39,286.15,286.43,292.38
NFC,2018-11-28,242.07,233.94,238.81,234.82
NFC,2018-11-29,248.77,242.17,248.57,247.03
NFC,2018-11-30,256.48,251.6,253.0,252.86
NFC,2018-12-05,245.49,244.05,244.5,244.53
NFC,2018-12-06,242.85,233.7,238.51,239.72
NFC,2018-12-07,249.11,236.67,247.27,237.32
NFC,2019-01-09,282.31,272.4,281.06,276.99
NFC,2019-01-10,282.25,271.06,274.45,282.25
NFC,2019-01-11,295.0,286.21,286.88,292.66
NFC,2019-01-30,295.0,289.34,289.51,290.02
NFC,2019-01-31,301.24,295.05,298.1,296.97
NFC,2019-02-01,300.98,293.01,295.45,298.86
NFC,2019-02-06,313.0,306.07,311.84,307.92
NFC,2019-02-07,309.5,300.05,309.44,300.05
NFC,2019-02-08,305.64,298.84,301.85,303.13
NFC,2019-02-20,322.48,318.18,319.5,319.62
NFC,2019-02-21,319.41,312.36,317.9,315.15
NFC,2019-02-22,322.44,314.88,315.23,322.44
NFC,2019-02-27,322.98,316.29,319.75,317.74
NFC,2019-02-28,320.79,316.25,317.54,318.16
NFC,2019-03-01,319.0,313.45,318.44,313.8
NFC,2019-03-13,319.43,312.35,315.25,318.84
NFC,2019-03-14,321.87,317.5,319.34,318.9
NFC,2019-03-15,320.13,317.42,318.49,319.82
NFC,2019-04-03,332.13,326.42,328.91,331.64
NFC,2019-04-04,331.5,324.6,329.25,325.89
NFC,2019-04-05,329.19,325.44,328.49,326.81
NFC,2018-02-20,231.2,223.58,225.13,231.2
NFC,2018-02-21,230.96,226.01,226.65,230.58
NFC,2018-02-22,230.92,227.46,228.6,227.95
NFC,2018-03-13,263.25,252.67,261.0,254.44
NFC,2018-03-14,261.69,256.0,257.18,259.27
NFC,2018-03-15,262.04,258.09,260.7,260.23
NFC,2018-03-27,260.93,254.44,259.9,254.84
NFC,2018-03-28,246.05,228.65,239.99,229.6
NFC,2018-03-29,235.43,224.16,233.5,233.11
NFC,2018-06-11,309.47,305.72,306.3,307.99
NFC,2018-06-12,310.24,307.18,307.5,310.12
NFC,2018-06-13,317.5,308.59,308.59,316.81
NFC,2018-07-02,337.94,327.79,334.0,336.72
NFC,2018-07-03,344.69,337.75,343.83,339.73
NFC,2018-07-04,337.89,334.5,336.29,335.8
NFC,2018-08-28,313.84,307.72,312.75,308.46
NFC,2018-08-29,317.49,310.65,317.0,312.78
NFC,2018-08-30,321.2,312.05,313.12,317.0
