Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
PHIA,2018-01-02,31.4,31.2,31.4,31.2
PHIA,2018-01-30,33.0,32.2,33.0,32.2
PHIA,2018-06-12,36.2,36.2,36.2,36.2
PHIA,2018-06-19,35.6,35.4,35.4,35.6
PHIA,2018-07-05,36.6,36.6,36.6,36.6
PHIA,2018-07-27,38.0,38.0,38.0,38.0
PHIA,2018-08-02,37.8,37.8,37.8,37.8
PHIA,2018-08-21,37.4,37.4,37.4,37.4
PHIA,2018-09-06,37.4,37.4,37.4,37.4
PHIA,2018-09-17,39.4,39.2,39.4,39.2
PHIA,2018-09-18,39.0,39.0,39.0,39.0
PHIA,2018-09-21,38.8,38.8,38.8,38.8
PHIA,2018-10-09,36.4,36.4,36.4,36.4
PHIA,2018-10-26,31.4,31.4,31.4,31.4
PHIA,2018-11-08,34.2,33.4,34.2,33.6
PHIA,2018-12-04,33.6,33.6,33.6,33.6
PHIA,2019-01-10,30.6,30.4,30.6,30.4
PHIA,2019-01-28,32.6,32.6,32.6,32.6
PHIA,2019-01-30,33.2,33.2,33.2,33.2
PHIA,2019-03-08,35.2,35.2,35.2,35.2
PHIA,2019-05-07,37.0,37.0,37.0,37.0
PHIA,2019-05-14,36.2,35.4,35.4,36.2
PHIA,2019-06-17,37.0,37.0,37.0,37.0
PHIA,2019-06-18,37.8,37.8,37.8,37.8
PHIA,2019-07-01,39.0,39.0,39.0,39.0
PHIA,2019-07-11,39.2,38.4,39.2,38.4
PHIA,2019-08-09,41.6,41.4,41.6,41.4
PHIA,2019-08-12,41.6,41.6,41.6,41.6
PHIA,2019-08-15,41.0,41.0,41.0,41.0
PHIA,2019-08-16,41.8,41.6,41.6,41.6
PHIA,2019-08-19,42.4,41.6,41.6,42.4
PHIA,2019-08-24,42.0,42.0,42.0,42.0
PHIA,2019-09-18,44.0,44.0,44.0,44.0
PHIA,2019-09-21,44.0,44.0,44.0,44.0
PHIA,2019-09-27,41.8,41.8,41.8,41.8
PHIA,2019-10-23,39.2,39.2,39.2,39.2
PHIA,2019-10-24,39.6,39.4,39.4,39.6
PHIA,2019-10-25,40.4,39.6,40.4,39.8
PHIA,2019-10-31,38.8,38.8,38.8,38.8
PHIA,2019-12-03,41.0,41.0,41.0,41.0
PHIA,2019-12-05,41.6,41.6,41.6,41.6
PHIA,2019-12-17,43.0,43.0,43.0,43.0
PHIA,2019-12-20,44.2,44.2,44.2,44.2
PHIA,2019-12-23,43.2,43.2,43.2,43.2
PHIA,2019-12-27,45.0,44.8,45.0,44.8
PHIA,2019-12-30,44.4,44.4,44.4,44.4
