Mnemonic,Date,MaxPrice,MinPrice,StartPrice,EndPrice
VOW3,2018-01-02,165.76,161.48,162.26,165.54
VOW3,2018-01-03,171.94,168.88,170.16,171.52
VOW3,2018-01-04,174.84,171.28,173.06,174.28
VOW3,2018-11-21,152.36,148.12,149.22,152.36
VOW3,2018-11-22,152.36,150.46,151.12,151.92
VOW3,2018-11-23,152.34,149.38,151.92,150.98
VOW3,2019-03-20,147.04,143.46,147.04,143.92
VOW3,2019-03-21,144.98,142.54,144.28,142.94
VOW3,2019-03-22,143.32,139.14,141.38,139.14
VOW3,2019-08-21,144.16,142.58,143.54,142.64
VOW3,2019-08-22,144.84,142.58,143.58,143.06
VOW3,2019-08-23,144.12,140.86,143.66,141.16
VOW3,2018-01-09,181.56,178.28,179.04,180.5
VOW3,2018-01-10,180.16,177.24,179.38,178.28
VOW3,2018-01-11,179.44,176.22,178.58,177.58
VOW3,2018-04-12,178.3,174.04,175.84,176.36
VOW3,2018-04-13,178.54,174.38,177.36,177.12
VOW3,2018-04-16,175.92,171.62,174.94,172.54
VOW3,2018-06-04,163.46,161.5,163.32,162.06
VOW3,2018-06-05,165.14,162.32,164.18,162.32
VOW3,2018-06-06,164.04,162.44,163.14,163.06
VOW3,2018-08-21,141.16,138.52,139.06,140.72
VOW3,2018-08-22,142.02,136.66,142.0,138.82
VOW3,2018-08-23,138.34,137.52,138.18,137.94
VOW3,2018-08-28,144.86,143.38,144.5,143.38
VOW3,2018-08-29,143.52,141.64,141.88,143.16
VOW3,2018-08-30,145.36,140.66,140.78,142.86
VOW3,2018-10-31,152.22,148.76,151.66,148.76
VOW3,2018-11-01,153.42,150.0,151.98,151.54
VOW3,2018-11-02,158.94,154.36,158.48,154.36
VOW3,2019-01-02,137.02,134.64,135.88,136.26
VOW3,2019-01-03,136.0,134.08,135.66,134.76
VOW3,2019-01-04,140.48,136.14,136.54,140.48
VOW3,2019-01-23,143.46,141.6,142.26,142.26
VOW3,2019-01-24,145.66,142.32,143.18,145.54
VOW3,2019-01-25,152.36,148.64,149.82,151.64
VOW3,2019-01-30,147.48,146.14,147.02,147.42
VOW3,2019-01-31,149.76,145.66,149.74,148.62
VOW3,2019-02-01,150.18,147.68,150.0,149.56
VOW3,2019-04-03,149.52,148.24,149.48,148.52
VOW3,2019-04-04,151.1,149.22,149.28,149.96
VOW3,2019-04-05,150.48,148.06,150.08,148.76
VOW3,2019-05-06,157.94,153.58,153.86,157.62
VOW3,2019-05-07,155.66,153.04,155.28,154.42
VOW3,2019-05-08,154.96,151.9,153.46,154.58
VOW3,2019-06-04,144.96,142.36,143.4,144.66
VOW3,2019-06-05,144.62,141.66,144.06,142.78
VOW3,2019-06-06,144.12,140.82,143.52,141.84
VOW3,2019-06-19,145.36,143.28,143.48,145.36
VOW3,2019-06-20,147.98,146.66,147.36,146.9
VOW3,2019-06-21,148.12,146.86,147.74,147.18
VOW3,2019-08-07,145.16,141.52,143.58,142.78
VOW3,2019-08-08,144.28,143.24,143.6,144.28
VOW3,2019-08-09,142.52,140.48,142.46,141.34
VOW3,2019-10-02,152.22,148.92,151.4,149.14
VOW3,2019-10-04,147.96,146.54,147.88,147.82
VOW3,2019-10-07,148.66,147.28,147.28,148.54
VOW3,2019-10-24,175.16,172.78,173.54,175.0
VOW3,2019-10-25,174.42,172.26,174.22,172.36
VOW3,2019-10-28,176.72,173.76,174.58,176.12
VOW3,2019-11-14,181.18,179.02,179.34,179.92
VOW3,2019-11-15,183.46,180.5,180.76,183.46
VOW3,2019-11-18,182.96,174.14,182.56,175.94
VOW3,2019-12-19,179.16,175.78,178.92,177.1
VOW3,2019-12-20,178.68,176.24,177.78,176.96
VOW3,2019-12-23,176.16,174.82,175.48,176.16
VOW3,2018-03-27,159.24,156.18,158.16,156.64
VOW3,2018-03-28,155.0,153.18,153.5,154.44
VOW3,2018-03-29,162.22,158.56,158.64,161.38
VOW3,2018-04-19,174.28,172.7,174.04,173.54
VOW3,2018-04-20,173.32,170.48,172.48,171.04
VOW3,2018-04-23,170.38,168.82,169.84,169.7
VOW3,2018-04-26,173.12,169.92,171.8,171.38
VOW3,2018-04-27,173.56,171.64,172.36,172.7
VOW3,2018-04-30,172.18,170.44,171.72,171.48
VOW3,2018-05-11,172.64,170.5,170.92,172.5
VOW3,2018-05-14,171.74,170.26,170.96,171.54
VOW3,2018-05-15,173.48,171.88,172.58,173.32
VOW3,2018-06-11,160.74,157.86,160.08,159.26
VOW3,2018-06-12,159.92,158.32,159.5,159.42
VOW3,2018-06-13,161.1,159.64,159.94,160.08
VOW3,2018-06-25,147.0,145.56,145.94,146.02
VOW3,2018-06-26,146.86,142.86,146.64,144.48
VOW3,2018-06-27,148.44,143.18,143.2,146.86
VOW3,2018-09-11,137.38,136.04,136.88,137.38
VOW3,2018-09-12,138.56,136.56,138.0,138.4
VOW3,2018-09-13,141.88,140.68,141.42,140.78
VOW3,2018-09-25,155.0,149.06,154.44,150.48
VOW3,2018-09-26,151.54,148.94,149.18,151.3
VOW3,2018-09-27,155.68,151.02,151.52,153.86
VOW3,2018-10-02,154.46,151.68,152.24,152.94
VOW3,2018-10-04,154.26,151.86,153.3,152.08
VOW3,2018-10-05,150.68,149.02,150.18,149.3
VOW3,2018-12-19,148.84,146.74,148.52,146.88
VOW3,2018-12-20,145.64,143.12,144.52,143.9
VOW3,2018-12-21,146.74,141.12,141.66,143.3
VOW3,2019-01-16,146.12,144.02,145.22,144.9
VOW3,2019-01-17,143.62,141.96,143.58,142.9
VOW3,2019-01-18,146.66,144.42,144.52,145.66
VOW3,2019-02-06,149.6,147.56,148.12,149.4
VOW3,2019-02-07,147.76,142.32,147.62,142.32
VOW3,2019-02-08,142.82,139.18,142.18,139.86
VOW3,2019-02-20,148.16,144.76,145.78,146.68
VOW3,2019-02-21,147.64,145.6,147.3,146.58
VOW3,2019-02-22,149.44,145.28,147.34,146.72
VOW3,2019-02-27,151.96,149.94,150.5,151.66
VOW3,2019-02-28,151.16,150.22,150.28,150.9
VOW3,2019-03-01,154.94,152.92,153.26,154.18
VOW3,2019-05-13,148.64,146.24,148.48,147.54
VOW3,2019-05-14,149.68,148.3,149.46,149.02
VOW3,2019-05-15,152.4,143.06,144.34,149.12
VOW3,2019-07-17,155.12,153.02,154.9,153.06
VOW3,2019-07-18,152.98,151.42,152.1,151.46
VOW3,2019-07-19,152.28,151.04,152.12,151.46
VOW3,2019-07-31,152.98,150.94,152.58,150.94
VOW3,2019-08-01,151.64,149.48,150.9,150.64
VOW3,2019-08-02,146.8,143.64,145.12,146.24
VOW3,2019-09-25,153.88,151.06,151.7,153.88
VOW3,2019-09-26,155.16,153.44,154.88,153.64
VOW3,2019-09-27,155.54,154.46,154.66,154.9
VOW3,2019-10-17,173.3,169.56,170.28,170.18
VOW3,2019-10-18,169.74,168.16,168.96,169.34
VOW3,2019-10-21,172.16,170.6,170.96,170.88
VOW3,2019-11-07,184.32,181.1,182.38,184.24
VOW3,2019-11-08,183.72,180.76,182.48,181.68
VOW3,2019-11-11,181.62,179.42,181.62,181.5
VOW3,2018-01-16,185.74,181.24,181.44,183.8
VOW3,2018-01-17,183.82,180.06,182.96,180.82
VOW3,2018-01-18,181.66,179.32,180.0,180.1
VOW3,2018-01-23,191.56,186.42,191.4,187.56
VOW3,2018-01-24,186.94,184.3,186.66,184.94
VOW3,2018-01-25,184.82,179.46,184.1,181.32
VOW3,2018-02-06,168.58,163.94,165.78,165.14
VOW3,2018-02-07,172.1,167.04,168.34,171.36
VOW3,2018-02-08,170.58,163.3,170.14,163.4
VOW3,2018-02-13,167.02,163.56,165.66,163.6
VOW3,2018-02-14,166.86,160.48,164.8,166.56
VOW3,2018-02-15,169.6,163.44,167.64,164.84
VOW3,2018-02-20,165.18,162.38,165.0,164.8
VOW3,2018-02-21,163.7,161.64,162.66,163.32
VOW3,2018-02-22,164.64,160.26,160.62,164.58
VOW3,2018-03-06,159.48,157.44,157.64,157.6
VOW3,2018-03-07,157.08,153.76,154.36,155.7
VOW3,2018-03-08,157.26,153.28,154.4,157.08
VOW3,2018-04-05,167.06,163.36,163.6,166.98
VOW3,2018-04-06,166.2,163.96,165.54,165.02
VOW3,2018-04-09,166.42,163.02,165.66,164.3
VOW3,2018-05-04,173.12,171.66,172.06,172.84
VOW3,2018-05-07,176.4,172.86,173.14,176.24
VOW3,2018-05-08,175.2,173.06,174.18,173.8
VOW3,2018-06-18,158.68,154.48,158.66,155.66
VOW3,2018-06-19,152.7,150.78,151.74,152.1
VOW3,2018-06-20,156.2,153.84,153.92,155.02
VOW3,2018-08-07,149.1,146.8,147.76,146.88
VOW3,2018-08-08,148.72,146.04,146.46,147.82
VOW3,2018-08-09,148.8,146.78,146.92,147.84
VOW3,2018-08-14,143.64,142.34,143.46,142.9
